Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
971, Mother's Recipe Tamarind Date Chutney 200 g ,60.0,54.0,,,MOTHER'S RECIPE,200.0,g,1,6.0,10.0,270.0
972, Ching's Secret Schezwan Sauce 250 g ,90.0,83.0,,,CHING'S SECRET,250.0,g,1,7.0,7.78,332.0
973, DNV Mixed Pickle 1 kg ,220.0,110.0,,,DNV,1.0,kg,1,110.0,50.0,110.0
974, Sartaj Gulab Jamun Tin Pack | Indian Sweets | 1kg Tin Pack ,280.0,251.0,,,SARTAJ,1.0,kg,1,29.0,10.36,251.0
975, Beyond Snack Peri Peri Banana Chips 100 g (pack of 3) ,270.0,213.0,,,BEYOND SNÁCK,100.0,g,3,57.0,21.11,710.0
976," Organic Purify Imli Candy, Khatti, Methi Imli, Tamarind Twist Candy, Tamarind Candy, 250g jar Pack ",400.0,169.0,,,ORGANIC PURIFY,250.0,g,1,231.0,57.75,676.0
977, Weikfield Fusilli Pasta 400 g ,150.0,75.0,,,WEIKFIELD,400.0,g,1,75.0,50.0,187.5
978, Dr. Brand Cooking Soda 100 g ,18.0,17.0,,,DR. BRAND,100.0,g,1,1.0,5.56,170.0
979, Open Secret Choco Almond Healthy Cookies Biscuits-Pack of 24 - 420gm ,420.0,306.0,,,OPEN SECRET,420.0,gm,24,114.0,27.14,30.36
980, Haldiram Bhujiawala SUGAR FREE Soan Papdi 1.5kg (Pack of 3 -500g each) | Delicious Crispy & Flaky Premium Sugar free soan papdi ,810.0,585.0,,,HALDIRAM BHUJIAWALA,1.5,kg,3,225.0,27.78,130.0
981, Tic Tac Mint 7.7 g ,15.0,13.0,,,TIC TAC,7.7,g,1,2.0,13.33,1688.31
982, Galaxy Fusions Dark Chocolate Bar | With 70% Cocoa | 110g (Pack of 4) ,700.0,475.0,,,GALAXY,110.0,g,4,225.0,32.14,1079.55
983, Yummiez Veg Sticks 320 g ,140.0,87.0,,,YUMMIEZ,320.0,g,1,53.0,37.86,271.88
