,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
228," RED ROSE ROYAL BASMATI RICE 5KG I XXXL BIRYANI RICE I BEST BASMATI RICE FOR BIRYANI, 5 KG ","1,299.00",699,None,( 139.80/1 kg),RED ROSE
229, LILA DRY FRUITS 500gms x 2 (1 Kgs) Mason Jar Pack Premium Dried Afghani Anjeer| Dried Figs ,"1,499.00",659,None,None,LILA DRY FRUITS
230, Good Life Phool Makhana 250 g ,300,249,None,None,GOOD LIFE
231, Nature's Choice Mixed Dry Fruits 400 g ,260,199,None,None,NATURE'S CHOICE
232, Tata Sampann Unpolished Tur / Arhar Dal 1 kg ,289,259,None,None,TATA SAMPANN
233, Sharbati Wheat 5 kg ,285,199,None,( 39.80/1 kg),PRIVATE LABEL
234," GUNJAL SILKY PARMAL RICE, 30 KG ","1,699.00","1,649.00",None,( 54.97/1 kg),GUNJAL
235, Utkal's KASPER 30 Kg SONA MASURI RAW RICE ,"2,038.00","1,698.00",None,( 56.60/1 kg),UTKAL'S KASPER
236," Pawan Foods ""Paaritosh"" Premium Kacchi Ghani Mustard Oil 2 Litre | Sarso ka Tel Pure | Khusi ke Sath, Bhojan ka Swad | Natural with Healthy | kali Sarso ka Tel ",520,425,None,None,PAWAN
237, BLK Foods 1Kg Indian Kishmish | Big Size Raisins ( 500g x 2) ,"1,400.00",349,None,None,BLK FOODS
238, Foodcan Kismis 1 Kg Black Afghani Raisin Dakh (Kishmis) 1 Kg Saver Pack ,"1,000.00",329,None,None,FOODCAN
239, Good Life Dry White Peas 500 g ,67,61,None,None,GOOD LIFE
240, Everest Kashmirilal Chilli Powder 100 g ,124,105,None,( 105.00/100 g),EVEREST
241, Lotus Spices Green Elaichi 10 g ,39,28,None,None,LOTUS
242, Gemini Filtered Groundnut Oil 1 L ,230,199,None,None,GEMINI
243, Good Life Mixed Dry Fruits 500 g ,349,289,None,None,GOOD LIFE
244," Marwar Red Chili Powder 1 Kg (Lal Mirchi Powder | Red Chilly Powder, Agmark Grade) 1 Kilogram Pack ",560,279,None,None,MARWAR
245, Good Life Black Pepper 50 g ,65,55,None,None,GOOD LIFE
246," Grocery On The Go MIX DRY FRUITS Almonds, Apricots, Cashews, Pistachios, Walnuts, Raisins 250GM ",578,288,None,None,GROCERY ON THE GO
247, Happilo 1kg Almonds|100% Natural California Almonds ,"1,300.00",899,None,None,HAPPILO
248, Dhara Health Refined Sunflower Oil 5 L ,780,599,None,( 119.80/1 l),DHARA
249, Good Life Chitra Rajma 500 g ,112,97,None,None,GOOD LIFE
250, Good Life Unpolished Moong Dal 500 g ,103,79,None,None,GOOD LIFE
251, Farmley Handpicked Gold Makhana ( Fox Nuts) 250g ,300,269,None,None,FARMLEY
252, Daawat Devaaya Basmati Rice 5 kg ,720,539,None,None,DAAWAT
253, OM+ Filtered Groundnut Oil Pouch 5 ltr (Pack of 5) ,"1,500.00",939,None,None,OM+ FILTERED GROUNDNUT OIL
254, Good Life Premium Sona Masuri Rice 1 kg ,100,57,None,None,GOOD LIFE
255, Fortune Soya Wadi / Chunks 200 g ,60,55,None,None,FORTUNE
256, Good Life Unpolished Moong Dal 1 kg ,202,155,None,None,GOOD LIFE
257, Fortune Thick Poha 500 g ,70,35,None,None,FORTUNE
258," BANIYYA SETH Dried Afghani Anjeer / Figs, Rich in Iron, Fibre & Vitamins, Low in calories and Fat Free | Source of Dietary Fiber, 1 KG ","1,299.00",549,None,None,BANIYYA SETH
259, Good Life Jeera 1 kg ,"1,450.00",715,None,( 35.75/50 g),GOOD LIFE
260, Being Vegan Afghani Anjeer Figs Afghanistan Dry Anjir Dried Figs Dry Fruits (500 Grams) ,"1,679.00",363,None,None,BEING VEGAN
261, Pansari Kachi Ghani Mustard oil/Sarso Cooking Oil| Good for Bones & Heart| - 3 Litre ,759,519,None,None,PANSARI
262, Kasturika Mini Mogra Steam Basmati 10 Kg Rice ,930,579,None,( 57.90/1 kg),KASTURIKKA
