,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform
155, Continental Malgudi Filter Coffee 500gm Pouch ( 60% Coffee - 40% Chicory ) , 250.00 ,249.00,None,None,CONTINENTAL,500,gm,1,Success,JoiMart
156, Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 2 | 400gm , 760.00 ,649.00,None,None,CONTINENTAL,200,gm,2,Success,JoiMart
157, Nescafe Classic Instant Coffee Powder 190 g , 680.00 ,610.00,None,None,NESCAFE,190,g,1,Success,JoiMart
158, Cravova Classic Mojito 300 ml , 60.00 ,30.00,None,None,CRAVOVA,300,ml,1,Success,JoiMart
159, Complan Royal Chocolate Powdered Drink 500 g , 319.00 ,297.00,None,None,COMPLAN,500,g,1,Success,JoiMart
160, Paper Boat Chilli Guava Fruit Juice 200 ml , 35.00 ,23.00,None,None,PAPER BOAT,200,ml,1,Success,JoiMart
161, Nature Day Jeera Sparkling Fruit Drink 600 ml , 60.00 ,30.00,None,None,NATURE DAY,600,ml,1,Success,JoiMart
162," Nescafe Gold Imported, 200 Gm "," 1,168.75 ",800.00, Imported ,None,NESCAFE,200,gm,1,Success,JoiMart
163, Wagh Bakri Navchetan| Tea| Premium Tea| 250 Gm Each| Pack of 4| 1 Kg + Green Ilayachi 25g | , 450.00 ,445.00,None,None,WAGH BAKRI,250,gm,4,Success,JoiMart
164, Taj Mahal Tea Bags 100 pcs , 220.00 ,198.00,None,None,TAJ MAHAL,100,pcs,1,Success,JoiMart
165, Paper Boat Aam Panna 200 ml , 35.00 ,23.00,None,None,PAPER BOAT,200,ml,1,Success,JoiMart
166, PediaSure Chocolate Drink Powder 1 kg ," 1,785.00 ","1,606.00",None,None,PEDIASURE,1,kg,1,Success,JoiMart
167, Society Elaichi Adrak Chai | Society Tea | Ginger & Cardamom | Refreshing & Tasteful | 250 g | Pack of 1 ,170.00,170.00,None,None,SOCIETY,250,g,1,Success,JoiMart
168, Dukes Club Soda 750 ml , 20.00 ,18.00,None,None,DUKES,750,ml,1,Success,JoiMart
169, MOGU MOGU Multi Flavour Mix Fruit Juice with 25% NATA De Coco 300ML - Pack of 6 ,420.00,420.00,None,None,MOGU,300,ml,6,Success,JoiMart
170, Real Fruit Power Masala Guava Juice 1 L , 140.00 ,70.00,None,None,REAL,1,l,1,Success,JoiMart
171, Organic India Classic Tulsi Green Tea Bags 1.74 g (25 pcs) , 215.00 ,161.00,None,None,ORGANIC INDIA,1.74,g,1,Success,JoiMart
172, Paper Boat Swing Plus Zesty Pomegranate Juice 600 ml , 40.00 ,35.00,None,None,PAPER BOAT,600,ml,1,Success,JoiMart
173, 7Up 250 ml (Can) , 35.00 ,31.00,None,None,7 UP,250,ml,1,Success,JoiMart
174, Horlicks Classic Malt 450 g , 284.00 ,264.00,None,None,HORLICKS,450,g,1,Success,JoiMart
175, PediaSure Vanilla Delight Drink Powder 1 kg ," 1,785.00 ","1,606.00",None,None,PEDIASURE,1,kg,1,Success,JoiMart
176, Cravova Kiwi Mojito 300 ml , 60.00 ,30.00,None,None,CRAVOVA,300,ml,1,Success,JoiMart
177, Girnar Royal Cup Tea 1 kg , 570.00 ,470.00,None,None,GIRNAR,1,kg,1,Success,JoiMart
178, NutroVally Lemon Honey Flavored Green Tea | Premium & Detox Refreshing Tea | 100% Natural Leaves Green Tea Bags 50 PCS , 498.00 ,249.00,None,None,NUTROVALLY,50,pcs,1,Success,JoiMart
179," BEVZILLA Instant Coffee Powder - 48 Sachets | Turkish Hazelnut, Classic, French Vanilla & English Butterscotch | 12 Sachets Each Flavour ", 299.00 ,239.00,None,None,BEVZILLA,48,sachets,1,Success,JoiMart
180, Appy Apple Juice Drink 125 ml ,10.00,10.00,None,None,APPY,125,ml,1,Success,JoiMart
181, NutroVally Lemon Honey Flavored Green Tea | For Weight Loss & Build's Immune | Premium & Detox Refreshing Tea | 100% Natural Green Tea Bags -25 Bags , 249.00 ,179.00,None,None,NUTROVALLY,,none,1,Failed,JoiMart
182," Nikunj Premium Green Tea Jar, 250g ", 220.00 ,159.00,None,None,NIKUNJ,250,g,1,Success,JoiMart
183, Horlicks Women's Plus Caramel 750 g , 599.00 ,474.00,None,None,HORLICKS,750,g,1,Success,JoiMart
184, Wagh Bakri | Premium Leaf Tea |250 Gm Each | Pack of 2 | 500 Gm + Green Elaichi 25 Gm , 520.00 ,480.00,None,None,WAGH BAKRI,250,gm,2,Success,JoiMart
185, Wagh Bakri Spiced Tea 250 g , 165.00 ,153.00,None,None,WAGH BAKRI,250,g,1,Success,JoiMart
186, Manna Sattu 100% Channa Sattu Protein Mix 1kg (500g x 2 Packs) , 318.00 ,265.00,None,None,MANNA,1,kg,1,Success,JoiMart
187, NESCAFE Classic Instant Coffee Powder Imported | Instant Coffee Made with Robusta Beans | Roasted Coffee Beans | 100% Pure Coffee | 190g / 200g , 799.00 ,674.00, Imported ,None,NESCAFE,190,g,1,Success,JoiMart
