,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
111, Octavius | KADAK Assam Tea - 2.5 Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Loose Tea | Strong Chai | Tea Powder | Chai Patti | Taza Tea | Garden Fresh Tea | Tea 2.5 Kg , 750.00 ,649.00,None,None,OCTAVIUS
112, Octavius | Suprabhatam Tez Kadak Tea - 1Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Strong Chai | Tea Powder | Chai Patti 1 kg | Taza Tea 1 kg | Garden Fresh Tea | Tea 1 Kg , 240.00 ,219.00,None,None,OCTAVIUS
113, Horlicks Chocolate Delight 1 kg , 499.00 ,379.00,None,None,HORLICKS
114, Maaza Refresh Mango Drink 135 ml ,10.00,10.00,None,None,MAAZA
115, Red Label Leaf Tea 100 g , 55.00 ,51.00,None,None,RED LABEL
116, Horlicks Women's Plus Chocolate 400 g , 365.00 ,305.00,None,None,HORLICKS
117, Real Active Orange Juice 1 L , 155.00 ,99.00,None,None,REAL
118, Paper Boat Aamras 200 ml , 35.00 ,29.00,None,None,PAPER BOAT
119, Paper Boat Apple Fruit Juice 150 ml , 20.00 ,16.00,None,None,PAPER BOAT
120, Appy Fizz 250 ml , 20.00 ,18.00,None,None,APPY FIZZ
121, Continental STRONG Coffee Powder 1 Kg Bag ( 5 Pouches of 200g ) , 825.00 ,799.00,None,None,CONTINENTAL
122, Campa Sports Cricket Electrolytes 250 ml , 20.00 ,15.00,None,None,CAMPA
123, Tang Orange Instant Drink Mix 500 g , 150.00 ,121.00,None,None,TANG
124, Red Bull Energy Drink 250 ml , 125.00 ,110.00,None,None,RED BULL
125, Octavius | Kadak Masala Tea - 1Kg | 100% Natural Spices | Black Tea | Strong Tea | Masala Chai | Natural Care | Kadak Chai Patti | Spiced Tea | Ayurvedic Herbs | Vedic Tea | Tea 1 Kg , 450.00 ,349.00,None,None,OCTAVIUS
126, SRI SRI Morvita Gain More Incomplete ,"2,459.00","2,459.00",None,None,SRI SRI
127, Horlicks Classic Malt 500 g , 284.00 ,264.00,None,None,HORLICKS
128, B Natural Litchi Fruit Juice 180 ml , 20.00 ,15.00,None,None,B NATURAL
129, Pediasure 7 Plus Chocolate Drink Powder 400 g , 460.00 ,427.00,None,None,PEDIASURE
130, Sprite Lemon Lime Flavor Soft Drink 250 ml (Pack of 8) , 160.00 ,135.00,None,None,SPRITE
131, PediaSure Vanilla Delight Drink Powder 400 g (Carton) , 770.00 ,654.00,None,None,PEDIASURE
132, Horlicks Lite Regular Malt 450 g , 349.00 ,304.00,None,None,HORLICKS
133, Storia Badam Shake 180 ml , 45.00 ,30.00,None,None,STORIA
134, Real Fruit Power Litchi Juice 1 L , 125.00 ,89.00,None,None,REAL
135, Tata Tea | Agni | Strong Leaf Tea| 250 Gm Each| Pack of 4| 1 Kg+ Green Elaichi 25 Gm ,450.00,450.00,None,None,TATA TEA
136, Continental Speciale Instant Coffee Powder 50g Pouch | BUY 1 + GET 1 FREE | PACK OF 2 | 100% Pure Coffee | 100g (50g * 2 Pouches) , 329.00 ,159.00,None,None,CONTINENTAL
137, Cadbury Hot Chocolate Powder 200 g , 220.00 ,165.00,None,None,CADBURY
138, Kinley Packaged Drinking Water 1 L , 20.00 ,18.00,None,None,KINLEY
139, Campa Sports Cricket Electrolytes 500 ml , 30.00 ,22.00,None,None,CAMPA
140, Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 1 | , 380.00 ,369.00,None,None,CONTINENTAL
141, Ensure Diabetes Care Vanilla Drink Powder 400 g , 925.00 ,800.00,None,None,ENSURE
142, Real Fruit Power Pomegranate Juice 1 L , 130.00 ,115.00,None,None,REAL
143, Horlicks Chocolate Delight 500 g , 249.00 ,204.00,None,None,HORLICKS
144, Stings Energy Drink 250 ml , 30.00 ,27.00,None,None,STING
145, Red Bull 250 ml (6 pcs) , 700.00 ,569.00,None,None,RED BULL
146, 7 Up 250 ml , 20.00 ,18.00,None,None,7 UP
147, Real Fruit Power Guava Juice 1 L , 120.00 ,90.00,None,None,REAL
148, Tetley Lemon & Honey Green Tea Bags 100 pcs , 625.00 ,312.00,None,None,TETLEY
149, Society Masala Tea 1 kg (Pouch) , 640.00 ,489.00,None,None,SOCIETY
150, Budweiser Beats Energy Drink 250 ml , 110.00 ,55.00,None,None,BUDWEISER
151, Storia Chocolate Shake 180 ml , 45.00 ,30.00,None,None,STORIA
152, Bournvita 200 g , 125.00 ,116.00,None,None,BOURNVITA
153, Paper Boat Jaljeera Drink 200 ml , 35.00 ,23.00,None,None,PAPER BOAT
154, Protinex Rich Chocolate 400 g , 675.00 ,595.00,None,None,PROTINEX
155, Continental Malgudi Filter Coffee 500gm Pouch ( 60% Coffee - 40% Chicory ) , 250.00 ,249.00,None,None,CONTINENTAL
156, Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 2 | 400gm , 760.00 ,649.00,None,None,CONTINENTAL
157, Nescafe Classic Instant Coffee Powder 190 g , 680.00 ,610.00,None,None,NESCAFE
