Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Is Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
152, Gowardhan Pure Cow Ghee 500 ml (Jar) ,385.0,345.0,,,GOWARDHAN,500.0,ml,False,40.0,10.39,690.0
153, Good Life Toor Dal 500 g ,134.0,106.0,,,GOOD LIFE,500.0,g,False,28.0,20.9,212.0
154, Ziofit 1kg Popular Almonds Calfornia ,1250.0,799.0,,,ZIOFIT,1.0,kg,False,451.0,36.08,799.0
155, Annprash White Sugar - 0.5 kg ,499.0,148.0,,,ANNPRASH,0.5,kg,False,351.0,70.34,296.0
156, Patanjali Whole Wheat Atta with Bran 5 kg ,230.0,195.0,,( 39.00/1 kg),PATANJALI,5.0,kg,False,35.0,15.22,39.0
157, 921 CLASSIC BASMATI MOGRA | MUNGRA RICE - 30 KG ,1750.0,1299.0,,( 43.30/1 kg),921,30.0,kg,False,451.0,25.77,43.3
158, Gulab Sungold Refined Sunflower Oil 1 L ,150.0,97.0,,,GULAB,1.0,l,False,53.0,35.33,97.0
159, Tata Lite Sodium Curtailed Iodised Salt 1 kg ,50.0,45.0,,,TATA,1.0,kg,False,5.0,10.0,45.0
160, Fortune Sunlite Refined Sunflower Oil 15 L (Tin) ,2150.0,1625.0,,( 108.33/1 l),FORTUNE,15.0,l,False,525.0,24.42,108.33
161, Navjeevan Jeera 500g (Cumin) ,750.0,329.0,,( 65.80/100 g),NAVJEEVAN,500.0,g,False,421.0,56.13,658.0
162, Good Life Chana Dal 1 kg ,138.0,99.0,,,GOOD LIFE,1.0,kg,False,39.0,28.26,99.0
163, India Gate Rozana Basmati Rice 5 kg ,570.0,429.0,,,INDIA GATE,5.0,kg,False,141.0,24.74,85.8
164, Jivo Cold Pressed Sunflower Oil 5 Ltr - Chemical free ,1350.0,799.0,,,JIVO,5.0,ltr,False,551.0,40.81,159.8
165," Farmley Popular California Almonds, 100% Natural, 2 Times Crunchier, 500 g ",899.0,449.0,,,FARMLEY,2.0,times,False,450.0,50.06,
166, Date Crown Premium Fard Dates 500 g ,257.0,169.0,,,DATE CROWN,500.0,g,False,88.0,34.24,338.0
167, Suhana Simla Premium 1 Liter Danedar Cow Ghee | Pure Cow Ghee | 1Liter ,775.0,449.0,,,SUHANA SIMLA,1.0,liter,False,326.0,42.06,449.0
