Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform,Discount,Discount Percentage,Price Per Unit(Kg/L)
80, Mountain Dew 250 ml ,35.0,29.0,,,MOUNTAIN DEW,250.0,ml,1,Success,JoiMart,6.0,17.14,116.0
81, Real Fruit Power Masala Pomegranate Juice 1 L ,140.0,70.0,,,REAL,1.0,l,1,Success,JoiMart,70.0,50.0,70.0
82, Storia Pomegranate 100% Juice with No Added Sugar & Preservatives 750 ml ,170.0,85.0,,,STORIA,750.0,ml,1,Success,JoiMart,85.0,50.0,113.33
83, Society Tea 250 g ,145.0,134.0,,,SOCIETY,250.0,g,1,Success,JoiMart,11.0,7.59,536.0
84, Brooke Bond Taaza Leaf Tea 250 g ,50.0,46.0,,,TAAZA,250.0,g,1,Success,JoiMart,4.0,8.0,184.0
85, Taj Mahal Tea 100 g (Carton) ,95.0,88.0,,,TAJ MAHAL,100.0,g,1,Success,JoiMart,7.0,7.37,880.0
86, Limca 250 ml ,20.0,18.0,,,LIMCA,250.0,ml,1,Success,JoiMart,2.0,10.0,72.0
87, Bournvita 500 g ,233.0,173.0,,,BOURNVITA,500.0,g,1,Success,JoiMart,60.0,25.75,346.0
88, Tropicana Slice Mango Drink 600 ml ,35.0,32.0,,,SLICE,600.0,ml,1,Success,JoiMart,3.0,8.57,53.33
89, BRU Instant Coffee 100 g ,300.0,260.0,,,BRU,100.0,g,1,Success,JoiMart,40.0,13.33,2600.0
90, Dabur Chyawanprash Awaleha 250 g ,116.0,96.0,,,DABUR,250.0,g,1,Success,JoiMart,20.0,17.24,384.0
91, Horlicks Classic Malt 1 kg ,574.0,516.0,,,HORLICKS,1.0,kg,1,Success,JoiMart,58.0,10.1,516.0
92, Tata Agni Leaf Tea 1.5 kg ,335.0,301.0,,,TATA AGNI,1.5,kg,1,Success,JoiMart,34.0,10.15,200.67
93, Women's Horlicks Plus Caramel Drink Mix 400 g ,355.0,295.0,,,HORLICKS,400.0,g,1,Success,JoiMart,60.0,16.9,737.5
94, Zandu Sona Chandi Chyawanplus 900 g ,385.0,260.0,,,ZANDU,900.0,g,1,Success,JoiMart,125.0,32.47,288.89
95, Frooti Mango Drink 125 ml ,10.0,10.0,,,FROOTI,125.0,ml,1,Success,JoiMart,0.0,0.0,80.0
96," MAHARASTRA CHAHA WITH ""CUP"" - Special Chai (Pack 2) 1 Kg Each Jar 500gm ",750.0,262.0,,,"MAHARASTRA CHAHA WITH ""CUP""",1.0,kg,1,Success,JoiMart,488.0,65.07,262.0
