,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform
218, Sundrop Crunchy Peanut Butter 924 g , 285.00 ,256.00,None,None,SUNDROP,924,g,1,Success,JoiMart
219, Unibic Choco Kiss Cookies 250 g , 160.00 ,72.00,None,None,UNIBIC,250,g,1,Success,JoiMart
220, Chheda's Yellow Banana Chips 170 g , 100.00 ,59.00,None,None,CHHEDA'S,170,g,1,Success,JoiMart
221, Britannia NutriChoice Orange Oats Cookies 75 g , 25.00 ,21.00,None,None,BRITANNIA,75,g,1,Success,JoiMart
222, Mcvitie's Digestive Biscuits 200 g , 60.00 ,30.00,None,None,MCVITIE'S,200,g,1,Success,JoiMart
223, Candzey Orange Slices Candy 100 g , 40.00 ,20.00,None,None,CANDZEY,100,g,1,Success,JoiMart
224, Cadbury Dairy Milk Silk Fruit & Nut Chocolate 55 g , 85.00 ,74.00,None,None,CADBURY,55,g,1,Success,JoiMart
225, Bambino Nutraawell Elbow Macaroni Pasta 850 g , 109.00 ,99.00,None,None,BAMBINO,850,g,1,Success,JoiMart
226, Knorr Classic Thick Tomato Soup 53 g , 60.00 ,45.00,None,None,KNORR,53,g,1,Success,JoiMart
227, Quaker Oats 1.5 kg , 292.00 ,208.00,None,None,QUAKER,1.5,kg,1,Success,JoiMart
228, Britannia Milk Bikis Milky Sandwich Biscuits 200 g , 50.00 ,46.00,None,None,BRITANNIA,200,g,1,Success,JoiMart
229, Bagrry's White Oats 1 kg , 210.00 ,135.00,None,None,BAGRRY'S,1,kg,1,Success,JoiMart
230, Snactac Aloo Bhujia 150 g , 72.00 ,36.00,None,None,SNACTAC,150,g,1,Success,JoiMart
231, Cadbury Chocobakes Choc Layered Cake 19 g ,10.00,10.00,None,None,CADBURY,19,g,1,Success,JoiMart
232, Act II Golden Sizzle Popcorn 60 g (3 pcs) , 60.00 ,49.00,None,None,ACT II,60,g,1,Success,JoiMart
233, Parle Hide & Seek Caffe Mocha Coffee & Chocolate Chip Cookies 100 g , 30.00 ,27.00,None,None,PARLE,100,g,1,Success,JoiMart
234, Cadbury 5 Star Chocolate 40 g , 20.00 ,16.00,None,None,CADBURY,40,g,1,Success,JoiMart
235, Ching's Secret Schezwan Instant Noodles 240 g , 80.00 ,45.00,None,None,CHING'S SECRET,240,g,1,Success,JoiMart
236, Milkybar Chocolate 12.5 g ,10.00,10.00,None,None,MILKYBAR,12.5,g,1,Success,JoiMart
237, Surabhi D-Lite Tomato Ketchup (No Onion No Garlic) 900 g , 135.00 ,67.00,None,None,SURABHI,900,g,1,Success,JoiMart
238, Cadbury Dairy Milk Silk Chocolate 150 g , 175.00 ,150.00,None,None,CADBURY,150,g,1,Success,JoiMart
239," Yogabar High Protein Muesli 850g | Protein Food with Choco Almond & Cranberry | Protein Breakfast Cereals | Premium Whey Protein Isolate | Added Almonds & Probiotics with Dark Chocolate Muesli, Nuts, Seeds & Dry Fruits | 100% Vegan & No Preservatives ", 825.00 ,599.00,None,None,YOGABAR,850,g,1,Success,JoiMart
240, Dukes Waffy Vanilla Wafers 60 g , 50.00 ,25.00,None,None,DUKES,60,g,1,Success,JoiMart
241, Knorr Sweet Corn Veg Instant Cup-a-Soup 10 g ,10.00,10.00,None,None,KNORR,10,g,1,Success,JoiMart
242, Cadbury Fuse Chocolate 25 g , 20.00 ,18.00,None,None,CADBURY,25,g,1,Success,JoiMart
243, Britannia Jimjam Cream Biscuits 92 g (Buy 4 Get 1) , 100.00 ,93.00,None,None,BRITANNIA,92,g,1,Success,JoiMart
244, Snactac Masala Noodles 560 g (8 in 1 Pack) , 150.00 ,75.00,None,None,SNACTAC,560,g,1,Success,JoiMart
245, Sunfeast Farmlite Digestive High Fibre Biscuits 100 g , 20.00 ,13.00,None,None,SUNFEAST FARMLITE,100,g,1,Success,JoiMart
246, Cadbury Gold Choclairs 520 g (Pack of 100) , 200.00 ,180.00,None,None,CADBURY,520,g,100,Success,JoiMart
247, Malkist Cheese Flavoured Cracker Biscuits (family pack) - 72g (Pack of 12 ) ,360.00,360.00,None,None,MALKIST,72,g,12,Success,JoiMart
248, Mayora Malkist Chocolate Cracker Biscuits 144 g , 60.00 ,45.00,None,None,MALKIST,144,g,1,Success,JoiMart
249, Dabur Hommade Tangy-Licious Imli Sauce 100 g , 35.00 ,17.00,None,None,HOMMADE,100,g,1,Success,JoiMart
250, Candzey Chatpati Candy 100 g , 40.00 ,20.00,None,None,CANDZEY,100,g,1,Success,JoiMart
251, Shree Misthan Kaju Besan Ladoo 400g , 280.00 ,175.00,None,None,SHREE MISTHAN,400,g,1,Success,JoiMart
252," Winola Milk Choco Biscuit Balls- Chocolate Munchies, Chocolate Balls (1 kg) "," 1,000.00 ",304.00,None,None,WINOLA,1,kg,1,Success,JoiMart
253, Too Yum Aloo Chat Potato Stix 70 g , 60.00 ,30.00,None,None,TOO YUMM,70,g,1,Success,JoiMart
254, Bambino Elbow Macaroni Pasta 400 g , 55.00 ,50.00,None,None,BAMBINO,400,g,1,Success,JoiMart
255, Pintola All Natural Crunchy Peanut Butter 1kg , 449.00 ,408.00,None,None,PINTOLA,1,kg,1,Success,JoiMart
256, Britannia NutriChoice Digestive Zero Biscuits 100 g , 35.00 ,30.00,None,None,BRITANNIA,100,g,1,Success,JoiMart
257, Dukes Choco Safari Chocolate 250 g , 160.00 ,99.00,None,None,DUKES,250,g,1,Success,JoiMart
258, Knorr Classic Hot & Sour Vegetable Soup 41 g , 60.00 ,45.00,None,None,KNORR,41,g,1,Success,JoiMart
259, Delight Foods Original Agra Dry Petha 350g Indian Sweets Mithai , 207.00 ,130.00,None,None,DELIGHT FOODS,350,g,1,Success,JoiMart
260, LuvIt Chocwich White With Crunchy Wafers Coated with Rich White Chocolate| Pack of 1 -468g , 260.00 ,226.00,None,None,LUVIT,468,g,1,Success,JoiMart
261, Candzey Mix Fruits Candy 100 g , 40.00 ,20.00,None,None,CANDZEY,100,g,1,Success,JoiMart
262, Knorr Pizza & Pasta Sauce 200 g , 65.00 ,43.00,None,None,KNORR,200,g,1,Success,JoiMart
263, Saffola Oats 1 kg , 235.00 ,209.00,None,None,SAFFOLA,1,kg,1,Success,JoiMart
264, Cadbury Dairy Milk Crispello Chocolate 35 g , 35.00 ,32.00,None,None,CADBURY,35,g,1,Success,JoiMart
265, Dukes Masala Nibbles 150 g , 60.00 ,40.00,None,None,DUKES,150,g,1,Success,JoiMart
266," Yogabar Dark Chocolate Muesli with Cranberry 700g (Pack of 2) | Healthy Protein Breakfast Cereal | Added Chocolate & Cranberry with Seeds, Dry Fruits & Whole Grains | High in Iron & Fiber | 100% Vegan & No Preservatives ", 998.00 ,699.00,None,None,YOGA BAR,700,g,2,Success,JoiMart
267, Shree Misthan Kaju Katli 800g (200g X 4) ," 1,040.00 ",799.00,None,None,SHREE MISTHAN,800,g,1,Success,JoiMart
268, Uncle Chipps Spicy Treat Potato Chips 37 g , 20.00 ,18.00,None,None,UNCLE CHIPPS,37,g,1,Success,JoiMart
269," Snickers Peanut Filled Chocolate Bar 45g, (Pack of 12) ", 600.00 ,407.00,None,None,SNICKERS,45,g,12,Success,JoiMart
270, APLENTY Fryums Mix - Ready To Fry Papad With Tastemaker - 400 GM | Holi Special Fryum Pack | Holee Special Snacks | Combo Pack Of Best Fryum , 299.00 ,195.00,None,None,APLENTY,400,gm,1,Success,JoiMart
271, Kissan Fresh Tomato Ketchup 1 kg , 156.00 ,140.00,None,None,KISSAN,1,kg,1,Success,JoiMart
272, Nutella Ferrero Hazelnut Spread With Cocoa 180 g , 239.00 ,186.00,None,None,NUTELLA,180,g,1,Success,JoiMart
273, Sunfeast Yippee! Power Up Atta Noodles 280 g , 96.00 ,57.00,None,None,SUNFEAST,280,g,1,Success,JoiMart
274, Haldiram's Nagpur Bhujia Sev 200 g , 55.00 ,50.00,None,None,HALDIRAM’S NAGPUR,200,g,1,Success,JoiMart
275, Malkist Cheese Flavoured Cracker Biscuits (family pack) - 144g (Pack of 4 ) with Cash Back offer ,240.00,240.00,None,None,MALKIST,144,g,4,Success,JoiMart
276, LuvIt Goodies Chocolates Assorted Gift Pack | Gift Pack for Diwali Celebration | Pack of 1 - 148.5g , 140.00 ,127.00,None,None,LUVIT,148.5,g,1,Success,JoiMart
277, Parle Milano Hide & Seek Centre Filled Mixed Berries Biscuits 75 g , 40.00 ,30.00,None,None,PARLE,75,g,1,Success,JoiMart
278, Maggi Mushroom Penne Pazzta 68.5 g , 32.00 ,24.00,None,None,MAGGI,68.5,g,1,Success,JoiMart
279, Diwali Gift hampers with Dry Fruits/Dry Fruits Combo Pack/Dry fruits gift pack-Decorated Basket+2 Jars of Dry Fruits(Almond and Cashew)+handmade diary+2 designer Diya+4 Rangoli Colours+Diwali Card ," 1,400.00 ",599.00,None,None,MANTOUSS,1,none,1,Failed,JoiMart
280, McCain French Fries 420 g , 115.00 ,97.00,None,None,MCCAIN,420,g,1,Success,JoiMart
281, Snickers Peanut Chocolate 45 g , 50.00 ,39.00,None,None,SNICKERS,45,g,1,Success,JoiMart
282, Cornitos Cheese & Herbs Nacho Crisps 55 g , 35.00 ,28.00,None,None,CORNITOS,55,g,1,Success,JoiMart
283, Britannia Good Day Cashew Cookies 52.5 g ,10.00,10.00,None,None,BRITANNIA,52.5,g,1,Success,JoiMart
284, Ghasitaram's Bhavnagari Gathiya (400 GMS) , 200.00 ,123.00,None,None,GHASITARAM'S,400,gms,1,Success,JoiMart
285," Futurelife White Oats | Whole Grains Oats | With Targeted Minerals of Zinc, Chromium and Magnesium | Gluten-free | High Fiber and Protein | 100% Healthy & Natural | 1kg Pouch ", 180.00 ,149.00,None,None,FUTURELIFE,1,kg,1,Success,JoiMart
286, Shree Misthan Soan Papdi 400g , 280.00 ,189.00,None,None,SHREE MISTHAN,400,g,1,Success,JoiMart
287, Unibic Choco Chip Cookies 500 g , 200.00 ,100.00,None,None,UNIBIC,500,g,1,Success,JoiMart
288, McCain Smiles Value Pack 750 g , 240.00 ,204.00,None,None,MCCAIN,750,g,1,Success,JoiMart
289, Parle Monaco Pizza Masala Crunch Biscuits 311 g , 130.00 ,65.00,None,None,PARLE,311,g,1,Success,JoiMart
290, Cadbury Oreo Choco Creme Biscuits 288.75 g , 85.00 ,59.00,None,None,OREO,288.75,g,1,Success,JoiMart
291, Parle Platina Hide & Seek Milano Chocolate Chip Biscuits 150 g , 120.00 ,60.00,None,None,PARLE,150,g,1,Success,JoiMart
292, SAMS Red Chilly Sauce + Soya Sauce + Green Chilly Sauce 300 g (Pack of 3) , 210.00 ,189.00,None,None,SAMS,300,g,3,Success,JoiMart
293, Sunfeast Yippee Creamy Corn Tricolor Instant Pasta 65 g , 28.00 ,26.00,None,None,YIPPEE,65,g,1,Success,JoiMart
294," Galaxy Fruit & Nut Silky Smooth Milk Chocolate Bar, 100% Cashback, 52g, (Pack of 8) ", 640.00 ,470.00,None,None,GALAXY,52,g,8,Success,JoiMart
295, Haldiram's Khatta Meetha 350 g , 75.00 ,65.00,None,None,HALDIRAM’S NAGPUR,350,g,1,Success,JoiMart
296, Haldiram Bhujiawala Pure Ghee Soan Papdi 1.5kg (500g X 3 pac) | Delicious Crispy & Flaky Premium | Sweet mithai | Diwali Sweets , 810.00 ,450.00,None,None,HALDIRAM BHUJIAWALA,1.5,kg,1,Success,JoiMart
297, Shree Misthan Milk Cake (Indian Mithai / Sweets Gift Pack / Box) Festive Gift Box 200g , 240.00 ,189.00,None,None,SHREE MISTHAN,200,g,1,Success,JoiMart
298, Parle-G Original Glucose Biscuit 200 g , 25.00 ,23.00,None,None,PARLE,200,g,1,Success,JoiMart
299, Yogabar 20g High Protein Oats 850g | Choco Almond Oatmeal | High Fiber | Breakfast cereal | Weight Management | Whey Protein | , 699.00 ,599.00,None,None,YOGABAR,20,g,1,Success,JoiMart
300, Britannia 50-50 Maska Chaska Biscuits 105 g , 30.00 ,28.00,None,None,BRITANNIA,105,g,1,Success,JoiMart
301, Cadbury Dairy Milk Almond Bites 40 g , 75.00 ,63.00,None,None,CADBURY,40,g,1,Success,JoiMart
302, McCain Chilli Garlic Potato Bites 700 g , 240.00 ,204.00,None,None,MCCAIN,700,g,1,Success,JoiMart
303, Maggi Pichkoo Rich Tomato Ketchup 80 g , 15.00 ,13.00,None,None,MAGGI,80,g,1,Success,JoiMart
304, Kellogg's Corn Flakes 70 g , 30.00 ,28.00,None,None,KELLOGG'S,70,g,1,Success,JoiMart
305, Sunfeast Tomato Cheese Instant Pasta Treat 65 g , 28.00 ,16.00,None,None,SUNFEAST,65,g,1,Success,JoiMart
306, Parle Festive Delights Black Bourbon Choco Creme Sandwich Biscuits 300 g , 150.00 ,75.00,None,None,PARLE,300,g,1,Success,JoiMart
307, Peppy Tomato Discs 60 g , 60.00 ,30.00,None,None,PEPPY,60,g,1,Success,JoiMart
308, Chheda's Golden Lightly Salted Potato Chips 170 g , 85.00 ,50.00,None,None,CHHEDA'S,170,g,1,Success,JoiMart
309, Parle Krack Jack Crackers 200 g , 40.00 ,37.00,None,None,PARLE,200,g,1,Success,JoiMart
310, BTW Gulab Jamun 1 Kg , 325.00 ,280.00,None,None,BTW,1,kg,1,Success,JoiMart
311, Hershey's Kisses Almond Chocolate 33.6 g , 50.00 ,46.00,None,None,HERSHEY'S,33.6,g,1,Success,JoiMart
312, Parle Monaco Classic Cheeslings 300 g , 140.00 ,93.00,None,None,PARLE,300,g,1,Success,JoiMart
313, Lay's Spanish Tomato Tango Potato Chips 52 g , 20.00 ,18.00,None,None,LAY'S,52,g,1,Success,JoiMart
314, Haldiram's Nagpur Gulab Jamun 1 kg , 225.00 ,165.00,None,None,HALDIRAM’S NAGPUR,1,kg,1,Success,JoiMart
315, Cadbury Dairy Milk Silk Fruit & Nut Chocolate 137 g , 185.00 ,164.00,None,None,CADBURY,137,g,1,Success,JoiMart
316, Ram Bandhu Mango Pickle 1 kg , 260.00 ,130.00,None,None,RAM BANDHU,1,kg,1,Success,JoiMart
317, Cadbury Oreo Choco Creme Biscuits 481.25 g , 159.00 ,99.00,None,None,OREO,481.25,g,1,Success,JoiMart
318, Sunfeast Yippee Noodlemagic Masala 360 g , 78.00 ,66.00,None,None,SUNFEAST YIPPEE!,360,g,1,Success,JoiMart
319, Patanjali Honey 1 kg , 410.00 ,348.00,None,None,PATANJALI,1,kg,1,Success,JoiMart
320, MyFitness Peanut Butter Chocolate Smooth Peanut Butter 1250 gms , 649.00 ,475.00,None,None,MYFITNESS PEANUT BUTTER,1250,gms,1,Success,JoiMart
321, Ching's Secret Manchurian Instant Noodles 240 g , 80.00 ,49.00,None,None,CHING'S SECRET,240,g,1,Success,JoiMart
322, Unibic Assorted Cookies 75 g (Pack of 6) , 180.00 ,113.00,None,None,UNIBIC,75,g,6,Success,JoiMart
323, McCain French Fries 1.25 kg , 330.00 ,297.00,None,None,MCCAIN,1.25,kg,1,Success,JoiMart
324, Indiyum Sweets Mithai Dhoda Kaju Burfi 400g , 440.00 ,249.00,None,None,INDIYUM,400,g,1,Success,JoiMart
325, Britannia Vita Marie Gold Biscuits 150 g , 30.00 ,27.00,None,None,BRITANNIA,150,g,1,Success,JoiMart
326, Healthy Treat Roasted 5 in 1 Super Seed Mix 150gm | Roasted Seeds Mix for eating | High Protein Snacks | Mixed Seeds for Weight Loss | Nutritious Roasted Super Seed Mix | A Delicious and Healthy Snack | Diet Food , 259.00 ,215.00,None,None,HEALTHY TREAT,1,none,1,Failed,JoiMart
327, Snac tac Mixed Fruit Jam 500 g , 170.00 ,85.00,None,None,SNACTAC,500,g,1,Success,JoiMart
328, Crave Eatables Premium Gulab Jamun 1 kg , 299.00 ,149.00,None,None,CRAVE,1,kg,1,Success,JoiMart
329, Haldirams Mysore Pak 200 g X 1 Box , 254.00 ,199.00,None,None,HALDIRAM''S BHUJIA (DE.),200,g,1,Success,JoiMart
330, Dukes Waffy Pineapple Wafers 60 g , 60.00 ,30.00,None,None,DUKES,60,g,1,Success,JoiMart
331, Lijjat Punjabi Masala Special Papad 200 g , 89.00 ,80.00,None,None,LIJJAT,200,g,1,Success,JoiMart
332, Haldiram Bhujiawala Kashmiri Mixture 800g | Tasty And Spicy | Pack of 2 | 400 gram Each , 304.00 ,259.00,None,None,HALDIRAM BHUJIAWALA,800,g,2,Success,JoiMart
333, Kurkure Solid Masti Masala Twisteez 61 g , 20.00 ,18.00,None,None,KURKURE,61,g,1,Success,JoiMart
334, Bambino Popular Vermicelli 400 g , 45.00 ,41.00,None,None,BAMBINO,400,g,1,Success,JoiMart
335, Saffola Veggie Twist Instant Masala Oats 500 g , 225.00 ,180.00,None,None,SAFFOLA,500,g,1,Success,JoiMart
336, Indiyum Bakarwadi 300g , 199.00 ,158.00,None,None,INDIYUM,300,g,1,Success,JoiMart
337, Trimurti Kings Sweet Corn Frozen 500 g , 110.00 ,55.00,None,None,TRIMURTI KINGS,500,g,1,Success,JoiMart
