,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Converted_Quantity,Numeric_Part
110,110,Idli/Idly Rice,Super Saver,600.0,507.0,93.0,15.5,10 kg ,10 kg ,10000.0,10000.0
111,111,Organic Jaggery/Bella Powder,BB Royal,95.0,56.0,39.0,41.05,500 g - Jar,500 g ,500.0,500.0
112,112,Oil - Groundnut,Dhara ,250.0,219.78,30.22,12.09,1 L - Pouch,1 L ,1000.0,1000.0
113,113,Himalayan Pink Rock Salt/Uppu Powder,GoodDiet,110.0,87.0,23.0,20.91,1 kg ,1 kg ,1000.0,1000.0
114,114,Anjeer/Figs/Atti Hannu,BB Popular,1250.0,656.0,594.0,47.52,500 g ,500 g ,500.0,500.0
115,115,Refined Oil - Sunflower,Freedom,139.0,114.0,25.0,17.99,1 L - Pouch,1 L ,1000.0,1000.0
116,116,Pureit Refined Sunflower Oil,Gemini,700.0,549.0,151.0,21.57,5 l - Jar,5 l ,5000.0,5000.0
117,117,Salt/Uppu - Crystal,AKAR,26.0,18.27,7.73,29.73,1 kg - Pouch,1 kg ,1000.0,1000.0
118,118,Phool Makhana,BB Popular,120.0,95.0,25.0,20.83,100 g - Pouch,100 g ,100.0,100.0
119,119,Raisins/Ona Drakshi - Indian,BB Popular,500.0,279.0,221.0,44.2,1 kg - Pouch,1 kg ,1000.0,1000.0
120,120,Fennel/Saunf/Sompu - Big,BB Popular,80.0,57.0,23.0,28.75,100 g ,100 g ,100.0,100.0
121,121,Ghee/Tuppa,Amul,3130.0,3130.0,0.0,0.0,5 L ,5 L ,5000.0,5000.0
122,122,Mustard/Sasive/Rai - Small,BB Royal,60.0,38.0,22.0,36.67,200 g ,200 g ,200.0,200.0
123,123,Phool Makhana,BB Royal,300.0,247.0,53.0,17.67,200 g ,200 g ,200.0,200.0
124,124,Superlite Advanced Oil - Sunflower,Sundrop,489.0,479.22,9.779999999999973,2.0,3 L - Can,3 L ,3000.0,3000.0
125,125,Basmati Rice/Basmati Akki - Dubar,India Gate,164.0,133.0,31.0,18.9,1 kg - Pouch,1 kg ,1000.0,1000.0
126,126,Salt/Uppu - Iodised,Aashirvaad,25.0,16.0,9.0,36.0,1 kg - Pouch,1 kg ,1000.0,1000.0
127,127,Maida,BB Super Saver,31.0,22.0,9.0,29.03,500 g ,500 g ,500.0,500.0
128,128,Coconut Oil,Mr. Gold,265.0,147.0,118.0,44.53,1 L ,1 L ,1000.0,1000.0
129,129,Tamarind/Hunisehannu/Imli - Seedless,BB Popular,300.0,174.0,126.0,42.0,1 kg - Pouch,1 kg ,1000.0,1000.0
130,130,Tamil Ponni Boiled - Rice,BB Royal,1900.0,1678.0,222.0,11.68,26 kg - Bag,26 kg ,26000.0,26000.0
131,131,"Lite - 15% Low Sodium Iodised Salt, Helps Blood Pressure & For Healthy Lifestyle",Tata Salt,50.0,47.0,3.0,6.0,1 kg - Pouch,1 kg ,1000.0,1000.0
132,132,Basmati Rice/Basmati Akki - Rozana Super 90,Daawat,98.0,87.63,10.370000000000005,10.58,1 kg ,1 kg ,1000.0,1000.0
133,133,Organic - Sona Masoori Raw Rice,BB Royal,2000.0,1534.0,466.0,23.3,2x10 kg - Multipack,2x10 kg ,"(20.0, 'kg')",20.0
134,134,HMT Kolam Rice/Akki,BB Royal,475.0,374.0,101.0,21.26,5 kg - (12 + Months Old),5 kg ,5000.0,5000.0
135,135,Mustard/Sasive/Rai - Big,BB Royal,300.0,162.0,138.0,46.0,1 kg ,1 kg ,1000.0,1000.0
136,136,"Chilli - Guntur, Stemless",BB Royal,400.0,253.0,147.0,36.75,500 g ,500 g ,500.0,500.0
