,Product name,MRP,Discount,Tag,PerUnitPrice,Brand Generated
189," Manna Instant Badam Drink Mix with Real bits of Badam, 400g | More Bits per Sip | Make milk tastier ", 289.00 ,199.00,None,None,Real
190, Minute Maid Gritty Guava Juice 1 L , 80.00 ,40.00,None,None,Minute Maid
191," Nikunj Gold Tea - Royal Edition, 500g ", 280.00 ,191.00,None,None,None
192, Continental Malgudi Filter Coffee 500gm Pouch (80% Coffee - 20% Chicory) , 310.00 ,309.00,None,None,Continental
193," Bevzilla 60 Instant Coffee Powder Sachets(4 Flavours) - 120 Grams | Turkish Hazelnut, Colombian Gold, French Vanilla & English Butterscotch | 15 Sachets Each Flavour| Makes 60 Cups| 100 % Arabica Coffee| Strong Coffee ", 449.00 ,279.00,None,None,None
194," MAHARASTRA CHAHA WITH ""CUP"" Leaf Tea -1 kg (500 gm Jar Pack of 2) ", 780.00 ,262.00,None,None,None
195, Paper Boat Vitamin D Lychee Juice 150 ml , 30.00 ,27.00,None,None,Paper Boat
196," Orglife Apple Cider Vinegar With Garlic Ginger Lemon Honey, 500 ml Each (Pack Of 2) ", 998.00 ,314.00,None,None,None
197, Coolberg Non Alcoholic Peach Beer 330 ml , 99.00 ,73.00,None,None,Coolberg
198, Organic India Tulsi Green Tea 100 g , 285.00 ,213.00,None,None,Organic India
199, Duncans Finest Hand - Picked Leaf Tea Double Diamond Premium CTC Tea - 250g Pack , 135.00 ,130.00,None,None,None
200, Brooke Bond Red Label Natural Care Tea 100 g , 90.00 ,83.00,None,None,Red Label
201, Nature Day Ginger Drink 600 ml , 60.00 ,30.00,None,None,None
202, Paper Boat Swing Fizz Guava Drink 600 ml , 40.00 ,37.00,None,None,Paper Boat
203, KANGEN Alkaline Water 8.5+ PH 1 Litre Pack Of 12 ,840.00,840.00,None,None,None
204, Cravova Watermelon Mojito 300 ml , 60.00 ,30.00,None,None,None
205, Octavius | Classic Assam Black Tea - 100 Tea bags | Strong Tea | Kadak Chai | 1 Teabag Can Make 2 Cups | English Breakfast Tea | Refreshing | Morning Tea | Everyday Tea | 100 Pieces | Black Tea | - (2 gm x 100 Teabag) , 190.00 ,169.00,None,None,None
206," Nikunj Gold Tea - Royal Edition, 1kg ", 550.00 ,349.00,None,None,None
207, Girnar Royal Cup Tea 500 g , 290.00 ,255.00,None,None,Girnar
208, Bournvita 5 Star Magic 500 g , 255.00 ,237.00,None,None,None
209, Horlicks Mother's Plus Vanilla Flavour 400 g , 620.00 ,576.00,None,None,Horlicks
210, Lipton Tulsi Natura Green Tea Bags 25 pcs , 170.00 ,143.00,None,None,Lipton
211, Coolberg Non Alcoholic Malt Beer 330 ml , 99.00 ,73.00,None,None,Coolberg
212, Dabur Chyawanprakash Sugarfree 900 g , 440.00 ,340.00,None,None,Dabur
213, SENSO Chai Premix Masala Vegetarian (10 sachets) , 140.00 ,90.00,None,None,None
214, Ensure Vanilla Drink Powder 200 g , 440.00 ,409.00,None,None,Ensure
215," Monster Taurine Ginger Energy Drink, 500 Mlpack of 2 ", 770.00 ,653.00,None,None,Monster
216, Alo Frut Litchi + Aloevera Fruit Juice 300 ml , 40.00 ,30.00,None,None,Alo Frut
217, Organic India TULSI GREEN TEA LEMON GINGER 25 IB- Pack of 2 , 430.00 ,387.00,None,None,Organic India
218, Cravova Orange Mojito 300 ml , 60.00 ,30.00,None,None,None
219, B Natural Fruits N Bits Guava Drink 300 ml , 65.00 ,32.00,None,None,B Natural
220, HORLICKS Chocolate Delight Flavour (1 kg) , 499.00 ,485.00,None,None,None
221," Fanta Orange Drink, 320 Ml | Pack of 2| ", 400.00 ,360.00,None,None,Fanta
222, Aquafina Packaged Drinking Water 1 L , 20.00 ,18.00,None,None,Aquafina
