,Product name,MRP,Discount,Tag,PerUnitPrice
151, DAIRY SAGAR GOPAL Desi Cow Ghee |Made Traditionally from Curd |Pure Cow Ghee for Better Digestion and Immunity | 1Ltr Tetra Pack , 680.00 ,399.00,None,None
152, Parth Jaggery 950 g , 90.00 ,62.00,None,None
153, Dhara Filtered Groundnut Oil 1 L (Pouch) , 255.00 ,205.00,None,None
154, Gulab Classic Refined Cottonseed Oil 5 L , 782.00 ,555.00,None,( 111.00/1 l)
155, Jubilee Regular Long Grain Rice 1 kg , 190.00 ,63.00,None,None
156, Tata Salt 2 kg , 55.00 ,48.00,None,None
157, Good Life Thick Poha / Aval 500 g , 38.00 ,34.00,None,None
158, Fortune Besan 1 kg , 160.00 ,106.00,None,None
159, Satvikk 1000 gm Premium Almonds Californian 1 KG ," 1,400.00 ",689.00,None,None
160," Farmley 1kg Popular Almonds Californian, 100% Natural, 2 Times Crunchier Badaam "," 1,799.00 ",799.00,None,None
161, Good Life Filtered Groundnut Oil 1 L , 215.00 ,179.00,None,None
162, Nutraj Special Round Raisin 1 Kg (500 g X 2) , 598.00 ,329.00,None,( 32.90/100 g)
163, Pyramid Traders 1KG Kashmiri Mamra Almonds (Badam Giri) ," 4,000.00 ","1,070.00",None,None
164, Nutraj California Walnut Kernels 250g , 499.00 ,319.00,None,None
165, Wonderland Foods Platinum California Pistachios Roasted & Salted 400 g , 725.00 ,409.00,None,None
166, Brill California Almond Daily (500g x 2pkts) 1000g ," 1,600.00 ",739.00,None,None
167, Good Life Urad Dal 1 kg , 191.00 ,159.00,None,None
168, Anjani 1KG Premium Seedless Green Raisins (Kishmish) , 999.00 ,299.00,None,None
169, Tata Sampann Unpolished Kala Chana 500 g , 74.00 ,68.00,None,None
170, Good Life Kabuli Chana 1 kg , 266.00 ,221.00,None,None
171, Gulab Sungold Refined Sunflower Oil 5 L , 700.00 ,479.00,None,( 95.80/1 l)
172," Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) ", 998.00 ,549.00,None,( 274.50/250 g)
173, Gemini Refined Sunflower Oil 5 L , 890.00 ,625.00,None,( 125.00/1 l)
174," RED ROSE ROYAL BASMATI RICE 5KG I XXXL BIRYANI RICE I BEST BASMATI RICE FOR BIRYANI, 5 KG "," 1,299.00 ",699.00,None,( 139.80/1 kg)
175, Nature's Choice Arabian Dates 500 g , 200.00 ,99.00,None,None
176, DailyHerbs Anjeer 1kg - Premium Quality Afghani Anjeer | Naturally Dried Figs | Perfect for a Healthy Lifestyle ," 1,299.00 ",539.00,None,None
177, Dalda Vanaspati 1 L , 150.00 ,119.00,None,None
178, Fortune Rozana Basmati Rice 1 kg , 130.00 ,89.00,None,None
179, AweLiv Pure Olive Oil - 1 Ltr (Imported from Spain) ," 1,350.00 ",375.00,None,None
180, Farmley Whole Cashews Natural Raw W400 Kaju 500g , 749.00 ,399.00,None,None
181," English Nuts Mixed Dry Fruit, Nuts, Seeds, Berries - 1kg Trial Mix| 10+ Varieties | Lowest Price I "," 3,000.00 ",519.00,None,None
182, GO KITCHEN Afghanistan Afghani Anjeer Figs Big Size Anjir Dried Figs Zero Added Sugar & Preservatives Dry Fruit (Pack of 250 gram) , 359.00 ,249.00,None,None
183, GKD's Premium Pure Coconut Oil Jar (1 L) , 380.00 ,299.00,None,None
184," GUNJAL SILKY PARMAL RICE, 30 KG "," 1,699.00 ","1,649.00",None,( 54.97/1 kg)
185, Good Life Brown Chana 1 kg , 136.00 ,105.00,None,None
186, Farmley Handpicked Gold Makhana ( Fox Nuts) 250g , 300.00 ,269.00,None,None
187, Good Life Whole Moong 1 kg , 188.00 ,143.00,None,None
188, Sundrop SuperLite Advanced Refined Sunflower Oil 3 L ,489.00,489.00,None,( 163.00/1 l)
189, India Gate Super Basmati Rice 5 kg ," 1,080.00 ",729.00,None,None
190, Amul Cow Ghee 500 ml (Pouch) , 325.00 ,308.00,None,None
191, Lali Balaji DAILY NUT California Almond VALUE 1000gm (250gm x pack of 4) ," 1,240.00 ",689.00,None,None
