,Product name,MRP,Discount,Tag,PerUnitPrice
145, Maggi Rich Tomato Ketchup 970 g , 160.00 ,133.00,None,None
146, Sunfeast Active Marie Light Biscuits Family Pack 186 g , 30.00 ,27.00,None,None
147, Cadbury Dairy Milk Chocolate 13.2 g ,10.00,10.00,None,None
148, Lijjat Udad Papad 200 g , 77.00 ,69.00,None,None
149, Parle Milk Shakti Biscuits 350 g , 100.00 ,50.00,None,None
150, Britannia NutriChoice Hi-Fibre Digestive Biscuits 250 g , 70.00 ,59.00,None,None
151, Kellogg's Moons & Stars Chocos Cereal 1.2 kg , 600.00 ,260.00,None,None
152, Ching's Secret Just Soak Veg Hakka Noodles 140 g , 30.00 ,22.00,None,None
153, Dukes Nice Sugar Sprinkled Coconut Biscuits 145 g , 35.00 ,23.00,None,None
154, Haldiram's Kaju Katli 200 g X 1 Box , 374.00 ,329.00,None,None
155, Maggi Pazzta Cheesy Tomato Twist 68.5 g , 32.00 ,24.00,None,None
156, Cadbury Dairy Milk Oreo Chunks Lickables Chocolate 20 g , 50.00 ,45.00,None,None
157, Bhujialalji Bikaneri Bhujia ( pack of 1) 1kg Rajasthani Bhujia , 280.00 ,199.00,None,None
158, McCain French Fries Value Pack 750 g , 205.00 ,137.00,None,None
159, Lay's American Style Cream & Onion Potato Chips 40 g , 20.00 ,18.00,None,None
160, Maggi Nutri-licious Masala Instant Veg Atta Noodles 72.5 g , 30.00 ,27.00,None,None
161, Kellogg's Nuts Delight Muesli 1 kg , 810.00 ,415.00,None,None
162, Dabur Squeezy Honey 400 g (Buy 1 Get 1) , 399.00 ,263.00,None,None
163, Zandu Pure Honey 500 g , 240.00 ,160.00,None,None
164, Nutella Ferrero Hazelnut Spread With Cocoa 350 g , 399.00 ,318.00,None,None
165, Wingreens Farm Traditional Recipe Pizza & Pasta Sauce 450 g , 149.00 ,74.00,None,None
166, Parle Milano Hide & Seek Choco Filled Cookies 250 g , 180.00 ,90.00,None,None
167, Bambino Premium Vermicelli 850 g , 85.00 ,75.00,None,None
168, Sunfeast Mom's Magic Cashew & Almond Cookies 197 g , 45.00 ,41.00,None,None
169, Haldiram's Moong Dal 400 g , 105.00 ,85.00,None,None
170, MTR Vermicelli 850 g , 87.00 ,60.00,None,None
171, Snactac Moong Dal 150 g , 72.00 ,36.00,None,None
172, Candzey Pan Banarsi Candy 100 g , 40.00 ,20.00,None,None
173, Maggi 2-Minute Special Masala Instant Noodles 70 g , 20.00 ,18.00,None,None
174, Sunfeast Yippee Cheese Pasta Treat 65 g , 28.00 ,18.00,None,None
175, Pulse Kaccha Aam Candy 209 g , 60.00 ,40.00,None,None
176, Parle Poppins 100 g , 30.00 ,22.00,None,None
177," HF, Surya 400gm Soan Papdi (Pack of 2; 200g x 2) | Best Indian Sweet ", 200.00 ,149.00,None,None
178, Saffola Classic Instant Masala Oats 38 g , 14.00 ,13.00,None,None
179, Orion Choco Pie 28 g (12 pcs) , 170.00 ,113.00,None,None
180, Aarambh Oats 1 kg , 230.00 ,115.00,None,None
181, Haldiram's Mixture 350 g , 90.00 ,84.00,None,None
182, Snactac Tasty Peanuts 150 g , 72.00 ,36.00,None,None
183, Best Farms Frozen Green Peas 1 kg , 300.00 ,150.00,None,None
184, Cadbury Dairy Milk Maha Pack Chocolate 55 g , 50.00 ,45.00,None,None
185, Weikfield Macaroni Pasta 900 g , 120.00 ,89.00,None,None
186, Knorr Tomato Chatpata Instant Cup-a-Soup 13.5 g ,10.00,10.00,None,None
187, Nestle Classic Milk Chocolate 18 g ,10.00,10.00,None,None
188, Unibic Fruit & Nut Cookies 75 g , 30.00 ,20.00,None,None
189, Kissan Mixed Fruit Jam 200 g , 75.00 ,66.00,None,None
190, Bambino Saon Papdi Butterscotch Flavour 400 Gms (Each 200 Gms X Pack of 2) , 180.00 ,149.00,None,None
191, Parle Monaco Classic Regular Salted Biscuits 400 g , 80.00 ,68.00,None,None
192, Cadbury 5 Star 3D Chocolate 45 g , 35.00 ,24.00,None,None
193, Parle Fab! Bourbon Chocolate Sandwich Biscuits 500 g , 160.00 ,80.00,None,None
194, Indiyum Kaju Barfi 200g , 260.00 ,205.00,None,None
195, Haldiram Bhujiawala Navrattan Namkeen 800g | Delicious Spicy Flavour | Pack of 2 | 400 Grams Each , 260.00 ,220.00,None,None
196, Parle Hide & Seek Caffe Mocha Coffee & Chocolate Chip Cookies 100 g , 30.00 ,27.00,None,None
197, Snac tac Tomato Ketchup 950 g , 160.00 ,80.00,None,None
198, Act II Chilli Surprise Instant Popcorn 30 g ,12.00,12.00,None,None
199, Bambino Roasted Vermicelli 850 g , 115.00 ,104.00,None,None
200, Saffola Classic Masala Oats 500 g , 228.00 ,183.00,None,None
201, Unibic Choco Kiss Cookies 250 g , 160.00 ,72.00,None,None
202, Saffola Veggie Twist Instant Masala Oats 38 g , 17.00 ,15.00,None,None
203, Chheda's Yellow Banana Chips 170 g , 100.00 ,59.00,None,None
204, Cadbury Gold Choclairs 520 g (Pack of 100) , 200.00 ,180.00,None,None
205, GONGLOO Homemade Rajasthani Green Chilli Pickle | Ready to Eat Hari Mirch ka Achar | High in Vitamin C & Fibre | Hygienically Packed | Rich in Antioxidants | Improves Digestion | 300 GM , 259.00 ,166.00,None,None
206, Sunfeast Yippee Magic Masala Instant Noodles 480 g , 105.00 ,70.00,None,None
207, Dukes Waffy Orange Wafers 60 g , 50.00 ,25.00,None,None
208, MTR 3 Minute Breakfast Poha Mix 60 g , 27.00 ,18.00,None,None
209, Britannia NutriChoice Orange Oats Cookies 75 g , 25.00 ,21.00,None,None
210, Malkist Cheese Flavoured Cracker Biscuits (family pack) - 72g (Pack of 12 ) ,300.00,300.00,None,None
211, Bagrry's Original & Healthier Cornflakes Plus 800 g , 399.00 ,199.00,None,None
212, Sundrop Crunchy Peanut Butter 924 g , 285.00 ,256.00,None,None
213, Cadbury Dairy Milk Silk Chocolate 60 g , 80.00 ,74.00,None,None
214, Veganic Organic Mixture Namkin | Delicious Namkeen with Peanut | Tea Time Snacks 400g , 299.00 ,199.00,None,None
215, Mcvitie's Digestive Biscuits 200 g , 60.00 ,30.00,None,None
216," Winola Milk Choco Biscuit Balls- Chocolate Munchies, Chocolate Balls (1 kg) "," 1,000.00 ",304.00,None,None
217, Nestle Milkybar 42 g , 40.00 ,32.00,None,None
218, Quaker Oats 400 g , 79.00 ,69.00,None,None
219, Candzey Orange Slices Candy 100 g , 40.00 ,20.00,None,None
220, Knorr Manchow Veg Instant Cup-a-Soup 11 g ,10.00,10.00,None,None
221, Britannia Milk Bikis Milky Sandwich Biscuits 200 g , 50.00 ,46.00,None,None
222, Wingreens Farms Tandoori Mayo 180 g , 75.00 ,49.00,None,None
223, Ching's Secret Schezwan Instant Noodles 240 g , 80.00 ,45.00,None,None
224, Quaker Oats 1.5 kg , 292.00 ,208.00,None,None
225, Snactac Aloo Bhujia 150 g , 72.00 ,36.00,None,None
226, Milkybar Chocolate 12.5 g ,10.00,10.00,None,None
227, Surabhi D-Lite Tomato Ketchup (No Onion No Garlic) 900 g , 135.00 ,67.00,None,None
228," Yogabar High Protein Muesli 850g | Protein Food with Choco Almond & Cranberry | Protein Breakfast Cereals | Premium Whey Protein Isolate | Added Almonds & Probiotics with Dark Chocolate Muesli, Nuts, Seeds & Dry Fruits | 100% Vegan & No Preservatives ", 825.00 ,599.00,None,None
229, Britannia Jimjam Cream Biscuits 92 g (Buy 4 Get 1) , 100.00 ,93.00,None,None
230, Bambino Nutraawell Elbow Macaroni Pasta 850 g , 109.00 ,99.00,None,None
231, Bagrry's White Oats 1 kg , 210.00 ,135.00,None,None
232, Act II Golden Sizzle Popcorn 60 g (3 pcs) , 60.00 ,49.00,None,None
233, Dukes Waffy Vanilla Wafers 60 g , 50.00 ,25.00,None,None
234, Cadbury Dairy Milk Silk Chocolate 150 g , 175.00 ,150.00,None,None
235, Cadbury Fuse Chocolate 25 g , 20.00 ,18.00,None,None
236, Shree Misthan Kaju Besan Ladoo 400g , 280.00 ,175.00,None,None
237, Ghasitaram's Bhavnagari Gathiya (400 GMS) , 200.00 ,123.00,None,None
238," Yogabar Dark Chocolate Muesli with Cranberry 700g (Pack of 2) | Healthy Protein Breakfast Cereal | Added Chocolate & Cranberry with Seeds, Dry Fruits & Whole Grains | High in Iron & Fiber | 100% Vegan & No Preservatives ", 998.00 ,699.00,None,None
239, Delight Foods Original Agra Dry Petha 350g Indian Sweets Mithai , 207.00 ,130.00,None,None
240, Candzey Mix Fruits Candy 100 g , 40.00 ,20.00,None,None
