Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Mango Merry Mango Fruit Drink : 1.75 Litres,100,67,1.75 L,Mango,₹ 38.29
Real Fruit Power Apple : 1 Litre,115,95,1 L,Real,₹ 95.00
Mogu Mogu Lyche Juice Drink with Nata De Coco : 300 ml,70,59,300 ml,Mogu,₹ 0.20
Sooper Dooper Ice Pops : 10 Units,150,99,10 U,Sooper,₹ 9.90
Mogu Mogu Strawberry Juice Drink with Nata De Coco : 300 ml,70,59,300 ml,Mogu,₹ 0.20
B Natural Cranberry Flavoured Cooler Beverage : 1 Litre,130,65,1 L,B,₹ 0.07
Mango Merry Mango Drink : 1.2 Litres,75,49,1.2 L,Mango,₹ 40.83
Tropicana Orange Delight : 1 Litre,120,105,1 L,Tropicana,₹ 105.00
B Natural Apple Pack : 1 Litre,130,65,1 L,B,₹ 65.00
Real Activ Orange : 1 Litre,155,99,1 L,Real,₹ 99.00
Real Fruit Power Masala Mixed Fruit : 1 Litre,140,70,1 L,Real,₹ 70.00
Baidyanath Amla Juice : 1 Litre,220,175,1 L,Baidyanath,₹ 175.00
Real Fruit Power Mango : 1 Litre,115,95,1 L,Real,₹ 95.00
Real Activ Mixed Fruit : 1 Litre,155,105,1 L,Real,₹ 105.00
Raw Pressery Orange Juice : 1 Litre,350,247,1 L,Raw,₹ 247.00
Real Activ Apple : 1 Litre,155,95,1 L,Real,₹ 95.00
Tropicana Guava Delight : 1 Litre,115,75,1 L,Tropicana,₹ 75.00
Tropicana Litchi Delight : 1 Litre,123,99,1 L,Tropicana,₹ 99.00
Mogu Mogu Orange Juice Drink with Nata De Coco : 300 ml,70,56,300 ml,Mogu,₹ 0.19
Real Fruit Power Masala Guava : 1 Litre,140,70,1 L,Real,₹ 70.00
Paper Boat Aamras Drink : 200 ml,35,25,200 ml,Paper,₹ 0.13
O'cean Pink Fruit Drink - Guava Flavour : 500 ml,60,45,500 ml,O'cean,₹ 0.09
Baidyanath Aloevera Juice : 1 Litre,250,200,1 L,Baidyanath,₹ 200.00
Raw Pressery Pomegranate Juice : 1 Litre,450,318,1 L,Raw,₹ 318.00
