Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc
Makino Nacho Cheese Chips : 150 gms,90.0,55.0,150 gm,Makino,0.37,35.0,38.89
Beyond Snack Kerala Banana Chips - Salt And Pepper : 85 gms,60.0,42.0,85 gm,Beyond,0.49,18.0,30.0
Beyond Snack Kerala Banana Chips - Desi Masala : 85 gms,60.0,42.0,85 gm,Beyond,0.49,18.0,30.0
Wingreens Naan Chips Butter Garlic : 60 gms,40.0,20.0,60 gm,Wingreens,0.33,20.0,50.0
Pringles Potato Chips - Fusion Chutney : 102 gms,115.0,99.0,150 gm,Pringles,0.66,16.0,13.91
Beyond Snack Kerala Banana Chips - Hot & Sweet Chilli : 85 gms,60.0,42.0,85 gm,Beyond,0.49,18.0,30.0
Tastilo Nacho Chips - Spicy Jalapeno : 60 gms,40.0,20.0,60 gm,Tastilo,0.33,20.0,50.0
Makino Nacho Jalapeno Chips : 150 gms,90.0,50.0,150 gm,Makino,0.33,40.0,44.44
Tastilo Nacho Chips - Mexican Salsa : 60 gms,40.0,20.0,60 gm,Tastilo,0.33,20.0,50.0
Wingreens Naan Chips Chatpata Pudina : 60 gms,40.0,20.0,60 gm,Wingreens,0.33,20.0,50.0
Wayback Moong Baked Chips - Cheese N Herbs : 65 gms,80.0,40.0,65 gm,Wayback,0.62,40.0,50.0
Makino Nacho Sweet Chilly Chips :  150 gms,90.0,55.0,150 gm,Makino,0.37,35.0,38.89
Shiv Shakti Sabudana Kurdai : 100 gms,62.0,30.0,100 gm,Shiv,0.3,32.0,51.61
Makino Corn Twist Tomato : 60 gms,35.0,22.0,60 gm,Makino,0.37,13.0,37.14
Cornitos Nacho Crisps - Tomato Mexicana : 150 gms,90.0,60.0,150 gm,Cornitos,0.4,30.0,33.33
Cheetos Twisted Flamin Hot Corn Puffs : 30 gms,160.0,136.0,30 gm,Cheetos,4.53,24.0,15.0
Wayback Barley Baked Chips - Cream N Onion : 65 gms,80.0,40.0,65 gm,Wayback,0.62,40.0,50.0
Wayback Jowar Baked Chips - Lemon Ginger : 65 gms,80.0,40.0,65 gm,Wayback,0.62,40.0,50.0
