Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Budweiser 0.0 Non-Alcoholic Can : 330 ml,99,49.0,330 ml,Budweiser,₹ 0.15
Schweppes Original Ginger Ale : 300 ml,60,49.0,300 ml,Schweppes,₹ 0.16
Bisleri Limonata - With Lime Juice : 600 ml,40,25.0,600 ml,Bisleri,₹ 0.04
Schweppes Indian Tonic Water Tin : 300 ml,60,50.0,300 ml,Schweppes,₹ 0.17
Frooti Mango Drink Bottle : 2 Litres,120,89.0,2 L,Frooti,₹ 44.50
Coke Zero Sugar : 300 ml,40,28.0,300 ml,Coke,₹ 0.09
Coca-Cola Tin : 300 ml,40,28.0,300 ml,Coca-Cola,₹ 0.09
Budweiser Green Apple Non-Alcoholic Beer Can : 330 ml,99,49.0,330 ml,Budweiser,₹ 0.15
Cravova Classic Mojito : 300 ml,60,30.0,300 ml,Cravova,₹ 0.10
Cravova Peach Mojito : 300 ml,60,30.0,300 ml,Cravova,₹ 0.10
Coolberg Cranberry Non-Alcoholic Beer : 330 ml,99,79.0,330 ml,Coolberg,₹ 0.24
Cravova Green Apple Mojito : 300 ml,60,30.0,300 ml,Cravova,₹ 0.10
O'cean Fruit Drink - Peach & Passion Fruit Flavour : 500 ml,60,45.0,500 ml,O'cean,₹ 0.09
Cravova Watermelon Mojito : 300 ml,60,30.0,300 ml,Cravova,₹ 0.10
Coolberg Peach Non-Alcoholic Beer : 330 ml,99,71.0,330 ml,Coolberg,₹ 0.22
Coolberg Ginger Non-Alcoholic Beer : 330 ml,99,71.0,330 ml,Coolberg,₹ 0.22
Cravova Classic Lemonade: 300 ml,60,30.0,300 ml,Cravova,₹ 0.10
Coolberg Malt-Based Non-Alcoholic Cranberry Beer : 300 ml,99,66.0,300 ml,Coolberg,₹ 0.22
Appy Fizz Apple Flavoured Sparkling Drink : 1 Litre,60,56.0,1 L,Appy,₹ 0.06
Appy Fizz Apple Flavoured Sparkling Drink : 250 ml,20,18.0,250 ml,Appy,₹ 0.07
Appy Fizz Apple Flavoured Sparkling Drink : 600 ml,35,32.0,600 ml,Appy,₹ 0.05
Valentino Sparkling Red Grape Juice : 750 ml,550,495.0,750 ml,Valentino,₹ 0.66
Maaza Mango Drink : 1.2 Litres,75,55.0,1.2 L,Maaza,₹ 45.83
Maaza Mango Drink : 10x135 ml,100,79.0,10x135 ml,Maaza,₹ 45.83
Real Fruit Power Mixed Fruit : 1 Litre,128,93.0,1 L,Real,₹ 93.00
Minute Maid Pulpy Orange Juice : 1 Litre,90,69.0,1 L,Minute,₹ 69.00
Slice Mango Drink : 1.75 Litres,99,75.0,1.75 L,Slice,₹ 42.86
B Natural Mixed Fruit Beverage : 1 Litre,130,65.0,1 L,B,₹ 65.00
Real Fruit Power Orange : 1 Litre,130,104.0,1 L,Real,₹ 104.00
Real Fruit Power Guava : 1 Litre,120,81.0,1 L,Real,₹ 81.00
Real Fruit Power Litchi : 1 Litre,125,95.0,1 L,Real,₹ 95.00
Real Fruit Power Cranberry : 1 Litre,130,113.0,1 L,Real,₹ 113.00
Real Fruit Power Pomegranate : 1 Litre,130,105.0,1 L,Real,₹ 105.00
B Natural Guava Fruit Beverage : 1 Litre,130,65.0,1 L,B,₹ 65.00
B Natural Litchi Fruit Beverage : 1 Litre,130,65.0,1 L,B,₹ 65.00
Raw Pressery Coconut Water : 200 ml,60,39.0,200 ml,Raw,₹ 0.20
B Natural Orange Fruit Beverage : 1 Litre,130,65.0,1 L,B,₹ 65.00
Tropicana Mixed Fruit Delight : 1 Litre,125,62.0,1 L,Tropicana,₹ 62.00
Mango Merry Mango Fruit Drink : 1.75 Litres,100,67.0,1.75 L,Mango,₹ 38.29
Real Fruit Power Apple : 1 Litre,115,95.0,1 L,Real,₹ 95.00
Mogu Mogu Lyche Juice Drink with Nata De Coco : 300 ml,70,59.0,300 ml,Mogu,₹ 0.20
Sooper Dooper Ice Pops : 10 Units,150,99.0,10 U,Sooper,₹ 9.90
Mogu Mogu Strawberry Juice Drink with Nata De Coco : 300 ml,70,59.0,300 ml,Mogu,₹ 0.20
B Natural Cranberry Flavoured Cooler Beverage : 1 Litre,130,65.0,1 L,B,₹ 0.07
Mango Merry Mango Drink : 1.2 Litres,75,49.0,1.2 L,Mango,₹ 40.83
Tropicana Orange Delight : 1 Litre,120,105.0,1 L,Tropicana,₹ 105.00
B Natural Apple Pack : 1 Litre,130,65.0,1 L,B,₹ 65.00
Real Activ Orange : 1 Litre,155,99.0,1 L,Real,₹ 99.00
Real Fruit Power Masala Mixed Fruit : 1 Litre,140,70.0,1 L,Real,₹ 70.00
Baidyanath Amla Juice : 1 Litre,220,175.0,1 L,Baidyanath,₹ 175.00
Real Fruit Power Mango : 1 Litre,115,95.0,1 L,Real,₹ 95.00
Real Activ Mixed Fruit : 1 Litre,155,105.0,1 L,Real,₹ 105.00
Raw Pressery Orange Juice : 1 Litre,350,247.0,1 L,Raw,₹ 247.00
Real Activ Apple : 1 Litre,155,95.0,1 L,Real,₹ 95.00
Tropicana Guava Delight : 1 Litre,115,75.0,1 L,Tropicana,₹ 75.00
Tropicana Litchi Delight : 1 Litre,123,99.0,1 L,Tropicana,₹ 99.00
Mogu Mogu Orange Juice Drink with Nata De Coco : 300 ml,70,56.0,300 ml,Mogu,₹ 0.19
Real Fruit Power Masala Guava : 1 Litre,140,70.0,1 L,Real,₹ 70.00
Paper Boat Aamras Drink : 200 ml,35,25.0,200 ml,Paper,₹ 0.13
O'cean Pink Fruit Drink - Guava Flavour : 500 ml,60,45.0,500 ml,O'cean,₹ 0.09
Baidyanath Aloevera Juice : 1 Litre,250,200.0,1 L,Baidyanath,₹ 200.00
Raw Pressery Pomegranate Juice : 1 Litre,450,318.0,1 L,Raw,₹ 318.00
Baidyanath Karela Jamun Juice : 1 Litre,325,260.0,1 L,Baidyanath,₹ 260.00
Mogu Mogu Grape Juice Drink with Nata De Coco : 1 Litre,200,150.0,1 L,Mogu,₹ 150.00
Paper Boat Chilli Guava Drink : 200 ml,35,25.0,200 ml,Paper,₹ 0.13
Paper Boat Aamras Drink : 1 Litre,140,99.0,1 L,Paper,₹ 99.00
Raw Pressery Sugarcane : 1 Litre,250,150.0,1 L,Raw,₹ 150.00
Paper Boat Jaljeera Drink : 200 ml,35,25.0,200 ml,Paper,₹ 0.13
ICoco Lychee Flavoured Drink With Nata De Coco : 320 ml,70,59.0,320 ml,ICoco,₹ 0.18
Red Bull Energy Drink Pack : 6x250 ml,700,569.0,6x250 ml,Red,₹ 0.18
Monster Energy Drink Tin : 350 ml,125,80.0,350 ml,Monster,₹ 0.23
Sting Energy Drink : 250 ml,20,18.0,250 ml,Sting,₹ 0.07
Cipla Prolyte ORS - Orange Flavour : 200 ml,29.4,20.0,200 ml,Cipla,₹ 0.10
Cipla Prolyte ORS - Apple Flavour : 200 ml,29.4,20.0,200 ml,Cipla,₹ 0.10
Yakult Light Health Drink : 5x65 ml,29.4,0,5x65 ml,Yakult,₹ 0.10
Hurricane Berry Blast Energy Drink : 250 ml,60,49.0,250 ml,Hurricane,₹ 0.20
Budweiser Beats Energy Drink : 250 ml,110,60.0,250 ml,Budweiser,₹ 0.24
Hershey's Chocolate Syrup : 623 gms,230,195.0,623 gm,Hershey's,₹ 0.31
Hamdard Rooh Afza Sharbat : 750 ml,170,156.0,750 ml,Hamdard,₹ 0.21
Mapro Coolz Rose Sharbat : 1 Litre,252,182.0,1 L,Mapro,₹ 182.00
Kokan Gem Kokam Syrup : 1 Litre,180,90.0,1 L,Kokan,₹ 90.00
Mala's Rose Syrup : 1 Litre,230,150.0,1 L,Mala's,₹ 150.00
Mapro Restore Lemon Barley Water : 1 Litre,252,199.0,1 L,Mapro,₹ 199.00
Mala's Strawberry Crush : 1 Litre,240,150.0,1 L,Mala's,₹ 150.00
Mapro Whole Strawberry Crush : 1 Litre,360,260.0,1 L,Mapro,₹ 260.00
Mapro Litchi Crush : 1 Litre,252,182.0,1 L,Mapro,₹ 182.00
Mapro Orange Crush : 1 Litre,252,182.0,1 L,Mapro,₹ 182.00
Mapro Cocktail Mixology Kit : 750 ml,999,699.0,750 ml,Mapro,₹ 0.93
