Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Bingo Mad Angles Very Peri Peri : 130 gms,50,25.0,130 gm,Bingo,₹ 0.19
Garden Potato Chips - Premium Salted : 170 gms,85,55.0,170 gm,Garden,₹ 0.32
Lays Potato Chips - Sizzlin Hot : 48 gms,20,18.0,48 gm,Lays,₹ 0.38
Pringles Potato Chips - Desi Masala Tadka : 102 gms,115,99.0,102 gm,Pringles,₹ 0.97
Balaji Tomato Flavour Potato Wafers : 135 gms,40,36.0,135 gm,Balaji,₹ 0.27
Tastilo Cheesy Crispy Nacho Chips : 150 gms,90,45.0,150 gm,Tastilo,₹ 0.30
Lay's Wafer Style Potato Chips - Sundried Chilli : 48 gms,20,17.0,48 gm,Lay's Wafer,₹ 0.35
Rajam Yellow Banana Yellow Chips : 150 gms,83,60.0,150 gm,Rajam,₹ 0.50
Lay's Gourmet Vintage Cheese & Paprika Potato Chips : 80 gms,50,33.0,80 gm,Lay's,₹ 0.41
Cornitos Nacho Crisps - Cheese & Herbs : 150 gms,90,60.0,150 gm,Cornitos,₹ 0.40
Nisarga Yellow Banana Chips : 150 gms,100,50.0,150 gm,Nisarga,₹ 0.33
Balaji Simply Salted Stack Up : 60 gms,60,40.0,60 gm,Balaji,₹ 0.67
Beyond Snack Kerala Banana Chips - Peri Peri : 85 gms,60,42.0,85 gm,Beyond,₹ 0.49
Tastilo Spicy Jalapeno Nacho Chips : 150 gms,90,45.0,150 gm,Tastilo,₹ 0.30
Cornitos Nacho Crisps- Sizzlin Jalapeno : 150 gms,90,60.0,150 gm,Cornitos,₹ 0.40
Lay's Wafer Style Potato Chips - Salt With Pepper : 48 gms,20,15.0,48 gm,Lay's Wafer,₹ 0.31
Tastilo Nacho Chips - Cheesy Crispy : 60 gms,40,20.0,60 gm,Tastilo,₹ 0.33
Tastilo Nacho Chips - Peri Peri : 60 gms,40,20.0,60 gm,Tastilo,₹ 0.33
Makino Nacho Cheese Chips : 150 gms,90,55.0,150 gm,Makino,₹ 0.37
Beyond Snack Kerala Banana Chips - Salt And Pepper : 85 gms,60,42.0,85 gm,Beyond,₹ 0.49
Beyond Snack Kerala Banana Chips - Desi Masala : 85 gms,60,42.0,85 gm,Beyond,₹ 0.49
Wingreens Naan Chips Butter Garlic : 60 gms,40,20.0,60 gm,Wingreens,₹ 0.33
Pringles Potato Chips - Fusion Chutney : 102 gms,115,99.0,150 gm,Pringles,₹ 0.66
Beyond Snack Kerala Banana Chips - Hot & Sweet Chilli : 85 gms,60,42.0,85 gm,Beyond,₹ 0.49
Tastilo Nacho Chips - Spicy Jalapeno : 60 gms,40,20.0,60 gm,Tastilo,₹ 0.33
Makino Nacho Jalapeno Chips : 150 gms,90,50.0,150 gm,Makino,₹ 0.33
Tastilo Nacho Chips - Mexican Salsa : 60 gms,40,20.0,60 gm,Tastilo,₹ 0.33
Wingreens Naan Chips Chatpata Pudina : 60 gms,40,20.0,60 gm,Wingreens,₹ 0.33
Wayback Moong Baked Chips - Cheese N Herbs : 65 gms,80,40.0,65 gm,Wayback,₹ 0.62
Makino Nacho Sweet Chilly Chips :  150 gms,90,55.0,150 gm,Makino,₹ 0.37
Shiv Shakti Sabudana Kurdai : 100 gms,62,30.0,100 gm,Shiv,₹ 0.30
Makino Corn Twist Tomato : 60 gms,35,22.0,60 gm,Makino,₹ 0.37
Cornitos Nacho Crisps - Tomato Mexicana : 150 gms,90,60.0,150 gm,Cornitos,₹ 0.40
Cheetos Twisted Flamin Hot Corn Puffs : 30 gms,160,136.0,30 gm,Cheetos,₹ 4.53
Wayback Barley Baked Chips - Cream N Onion : 65 gms,80,40.0,65 gm,Wayback,₹ 0.62
Wayback Jowar Baked Chips - Lemon Ginger : 65 gms,80,40.0,65 gm,Wayback,₹ 0.62
Makino Nacho Cheese Chips Can Pack : 107 gms,120,75.0,107 gm,Makino,₹ 0.70
Wayback Bajra Baked Chips - Continental Spicy : 65 gms,80,40.0,65 gm,Wayback,₹ 0.62
McCain French Fries Pepper Crunch : 420 gms,150,129.0,420 gm,McCain,₹ 0.31
Tagz Popped Potato Chips Beer `N Barbeque : 56 Gms,110,55.0,56 gm,Tagz,₹ 0.98
Tagz Popped Potato Chips Cream & Onion Divin : 56 Gms,110,55.0,56 gm,Tagz,₹ 0.98
Tagz Popped Potato Chips Masala Trekkin : 56 Gms,110,55.0,56 gm,Tagz,₹ 0.98
Chitale Bandhu Bakarwadi : 250 gms,110,95.0,250 gm,Chitale,₹ 0.38
Chheda's Diet Poha Chivda : 350 gms,150,75.0,350 gm,Chheda's,₹ 0.21
Kurkure Masala Munch Namkeen : 100 gms,30,24.0,100 gm,Kurkure,₹ 0.24
Chheda's Kachori : 170 gms,60,39.0,170 gm,Chheda's,₹ 0.23
Prabhuji Khatta Meetha : 800 gms,220,89.0,800 gm,Prabhuji,₹ 0.11
Prabhuji All In One Mix : 1 kg,280,129.0,1 kg,Prabhuji,₹ 129.00
Vijayalaxmi Multigrain Bhajni Chakli : 500 gms,200,100.0,500 Gm,Vijayalaxmi,₹ 0.20
Babus Laxmi Narayan Best Farsan : 500 gms,140,65.0,500 gm,Babus,₹ 0.13
Farmley Peri Peri Makhana Jar : 83 gms,149,109.0,83 gm,Farmley,₹ 1.31
Farmley Cream & Onion Makhana Jar : 83 gms,199,125.0,83 gm,Farmley,₹ 1.51
Charliee Butter Chakli : 100 gms,76,37.0,100 gm,Charliee,₹ 0.37
Bikaji Falahari Mix : 170 gms,80,40.0,170 gm,Bikaji,₹ 0.24
Agrawals 420 Namkeen All In One : 900 gms,250,125.0,900 gm,Agrawals,₹ 0.14
Haldiram's Fine Bhel Sev : 150 gms,60,30.0,150 gm,Haldiram's,₹ 0.20
Panjwani Roasted Brown Chana : 200 gms,70,35.0,200 gm,Panjwani,₹ 0.17
Rajam Snacks Murukku : 150 gms,86,43.0,150 gm,Rajam,₹ 0.29
Taali Roasted Peanuts - Salted : 150 gms,80,40.0,150 gm,Taali,₹ 0.27
Garden Nylon Sev : 140 gms,55,35.0,140 gm,Garden,₹ 0.25
Sikandar Premium Roasted Peanuts Salted Khari Shing : 200 gms,70,59.0,200 gm,Sikandar,₹ 0.29
Rajam Snacks Chakli : 150 gms,86,43.0,150 gm,Rajam,₹ 0.36
Natural's Bite  Methi Masala Khakhra : 180 gms,75,37.0,180 gm,Natural's,₹ 0.21
Athavale's Jowar Poha Chivada : 200 gms,80,65.0,200 gm,Athavale's,₹ 0.33
Rajam Snacks Masala Murukku : 150 gms,86,43.0,150 gm,Rajam,₹ 0.29
Taali Roasted Peanuts - Nimboo Pudina : 140 gms,80,40.0,140 gm,Taali,₹ 0.29
Panjwani's White Sing : 200 gms,90,69.0,200 gm,Panjwani's,₹ 0.34
Panjwani's Skinwala Sing : 200 gms,88,55.0,200 gm,Panjwani's,₹ 0.28
