Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Garden Sabudana Chivda : 140 gms,55,35,140 gm,Garden,₹ 0.25
Rajam Mix Farsan : 400 gms,143,71,400 gm,Rajam,₹ 0.18
Charliee Masala Butter Chakli : 100 gms,76,37,100 gm,Charliee,₹ 0.37
Taali Protein Cheese & Herbs Puffs : 74 gms,79,39,74 gm,Taali,₹ 0.53
Taali Protein Masala Mania Puffs : 60 gms,79,39,60 gm,Taali,₹ 0.65
Taali Protein Cream & Onion Puffs : 74 gms,79,39,74 gm,Taali,₹ 0.53
Sun Schezwan Sticks : 150 gms,36,27,150 gm,Sun,₹ 0.18
Tip Top Bombay Mixture : 180 gms,70,35,180 gm,Tip,₹ 0.19
Chheda's Yellow Banana Chips : 170 gms,100,59,170 gm,Chheda's,₹ 0.35
Chheda's Golden Potato Chips - Lightly Salted : 170 gms,85,50,170 gm,Chheda's,₹ 0.29
Lay's American Style Cream & Onion : 90 gms,50,35,90 gm,Lay's,₹ 0.39
Lay's India's Magic Masala Potato Chips : 90 gms,50,33,90 gm,Lay's,₹ 0.37
Chheda's Long Masala Banana Chips : 170 gms,85,54,170 gm,Chheda's,₹ 0.32
Pringles Potato Chips - Sour Cream & Onion : 107 gms,115,99,107 gm,Pringles,₹ 0.93
Rajam Snacks Yellow Banana Chips : 300 gms,159,119,300 gm,Rajam,₹ 0.40
Kurkure Puffcorn Yummy Cheese : 55 gms,20,17,55 gm,Kurkure,₹ 0.31
Chheda's Salt-N-Pepper Banana Chips : 170 gms,75,45,170 gm,Chheda's,₹ 0.26
Bingo Chilli Sprinkled Potato Chips : 90 gms,50,25,90 gm,Bingo,₹ 0.28
Lay's Classic Salted Potato Chips : 90 gms,50,40,90 gm,Lay's,₹ 0.44
Pringles Potato Chips - Original : 107 gms,115,99,107 gm,Pringles,₹ 0.93
Motas Potato Chips : 200 gms,95,88,200 gm,Motas,₹ 0.44
Lay's Spanish Tomato Tango Potato Chips : 90 gms,50,40,90 gm,Lay's,₹ 0.44
Bingo Mad Angles Achaari Masti : 130 gms,50,25,130 gm,Bingo,₹ 0.19
Balaji Cream & Onion Wafers : 135 gms,40,36,135 gm,Balaji,₹ 0.27
Balaji Wafers Masala Masti : 150 gms,40,36,150 gm,Balaji,₹ 0.24
Balaji Wafers Simply Salted : 150 gms,40,36,150 gm,Balaji,₹ 0.24
Chheda's Tomato Banana Chips : 170 gms,75,45,170 gm,Chheda's,₹ 0.26
Britannia Potazos Masti Masala : 71.5 gms,25,16,71.5 gm,Britannia,₹ 0.22
Pringles Potato Chips - Peri Peri : 102 gms,115,99,102 gm,Pringles,₹ 0.97
Lay's Hot 'N' Sweet Chilli Potato Chips : 73 gms,30,27,73 gm,Lay's,₹ 0.37
Beyond Snack Kerala Banana Chips - Original Style : 85 gms,60,42,85 gm,Beyond,₹ 0.49
Doritos Nacho Cheese Flavour Chips : 82.5 gms,50,32,82.5 gm,Doritos,₹ 0.39
Pringles Potato Chips - Pizza Flavour : 102 gms,115,99,102 gm,Pringles,₹ 0.97
Bingo Mad Angles Very Peri Peri : 130 gms,50,25,130 gm,Bingo,₹ 0.19
Garden Potato Chips - Premium Salted : 170 gms,85,55,170 gm,Garden,₹ 0.32
Lays Potato Chips - Sizzlin Hot : 48 gms,20,18,48 gm,Lays,₹ 0.38
Pringles Potato Chips - Desi Masala Tadka : 102 gms,115,99,102 gm,Pringles,₹ 0.97
Balaji Tomato Flavour Potato Wafers : 135 gms,40,36,135 gm,Balaji,₹ 0.27
Tastilo Cheesy Crispy Nacho Chips : 150 gms,90,45,150 gm,Tastilo,₹ 0.30
Lay's Wafer Style Potato Chips - Sundried Chilli : 48 gms,20,17,48 gm,Lay's Wafer,₹ 0.35
Rajam Yellow Banana Yellow Chips : 150 gms,83,60,150 gm,Rajam,₹ 0.50
Lay's Gourmet Vintage Cheese & Paprika Potato Chips : 80 gms,50,33,80 gm,Lay's,₹ 0.41
Cornitos Nacho Crisps - Cheese & Herbs : 150 gms,90,60,150 gm,Cornitos,₹ 0.40
Nisarga Yellow Banana Chips : 150 gms,100,50,150 gm,Nisarga,₹ 0.33
