,Sr.No.,Grocery_Name,Brand_Name,Rating,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity_upd,Price_per_unit(gm/ml/pc)
162,162.0,Instant Popcorn - Golden Sizzle,ACT II,4.2,72.0,64.8,7.200000000000003,10.0,180 g,0.36
163,163.0,"Cashews - Whole, 100% Natural Premium",Happilo,4.1,670.0,502.5,167.5,25.0,400 g,1.25625
164,164.0,Muesli - With 0% Added Sugar,Kelloggs,4.2,740.0,694.0,46.0,6.22,1000 g,0.694
165,165.0,Masala Balls,Cheetos,4.2,50.0,46.0,4.0,8.0,140 g,0.32857142857142857
166,166.0,Pazzta Cheese Macaroni - Made With 100% Suji/Rawa,MAGGI,4.2,54.0,46.0,8.0,14.81,150 g ,0.30666666666666664
167,167.0,Tiger Kreemz Sandwich Biscuits - Choco,Britannia,4.1,10.0,10.0,0.0,0.0,86 g ,0.11627906976744186
168,168.0,"Cookies - Assorted Flavours, Tasty Teatime Snack",UNIBIC,4.2,300.0,225.0,75.0,25.0,75 g ,3.0
169,169.0,Chaat Papdi - Crispy,Tasties Origins,4.1,218.0,123.0,95.0,43.58,300 g,0.41
170,170.0,Biscuits - Googly,Bisk Farm,4.1,60.0,60.0,0.0,0.0,400 g,0.15
171,171.0,Bengaluru Special Mixture,Sowbhagya foods,4.2,330.0,165.0,165.0,50.0,1000 g,0.165
172,172.0,Ready To Eat Veg Masala Noodles,Wai Wai,4.1,45.0,42.75,2.25,5.0,210 g,0.20357142857142857
173,173.0,"Marie Light Biscuits - With Oats & Wheat Fibre, Tea Time Partner",Sunfeast,4.2,10.0,9.4,0.5999999999999996,6.0,65 g,0.14461538461538462
174,174.0,Digestive Wholewheat Biscuits,McVitie's,4.2,225.0,185.51,39.49000000000001,17.55,253.3 g ,0.7323726806158705
175,175.0,Strawberry Flavour Creme Sandwich Biscuit,Cadbury Oreo,4.2,105.0,86.94,18.060000000000002,17.2,341.25 g,0.25476923076923075
