,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
159,Jaggery - Bucket,BB Royal,3.5,₹65,₹100,900 g
160,Organic Kabuli Chana/Kabuli Kadale,BB Royal,3.9,₹249,₹270,1 kg
161,Horse Gram/Hurali Kaalu,BB Royal,4,₹33,₹36,200 g - Pouch
162,Masoor Dal/Mysore Bele,BB Royal,4,₹28,₹37,200 g
163,Turmeric Powder,MTR,4.2,₹73,₹81,250 Gm
164,Jaggery/Bella - Kolhapuri,BB Royal,4,₹95,₹112,900 g
165,"Sona Masuri Raw Rice/Akki - 12 Months, Pesticide Free",Safe Harvest,4,₹430.5,₹525,5 kg
166,Atta - Chakki Fresh,Fortune,4,₹60.36,₹74,1 kg
167,Ragi Flour/Ragi Hittu,BB Super Saver,3.9,₹54,₹90,1 kg
168,Organic - Methi/Menthya,BB Royal,4.1,₹19,₹21,100 g
169,Organic - Pumpkin Seeds/Kumbalakayi Bija,BB Royal,4,₹404,₹475,500 g
170,Ginger Garlic Paste,Mother's Recipe,4.2,₹89.25,₹119,500 g
171,Tasty - Pro Fitness Conscious Edible Oil,Saffola,4.2,₹414,₹450,3X1 L - Multipack
172,"Almond/Badam - Californian, Giri",Super Saver,3.7,₹669,₹1000,1 kg
173,"Poha/Avalakki - Extra Thick, Mota",BB Royal,0,₹70,₹100,1 kg
174,Organic Whole Wheat Atta,Aashirvaad,4.1,₹65,₹75,1 kg
175,Basmati Rice/Basmati Akki - Classic,India Gate,4.2,₹222.72,₹235,1 kg - Pouch
176,Organic - Black Pepper/Kali Mirchi,BB Royal,4,₹400,₹500,2x200 g - Multipack
177,Chilli Powder,Aashirvaad,4.1,₹175,₹250,500 g
178,Masala - Sambar Powder,MTR,4.1,₹114,₹130,200 g - Pouch
179,Idli Rava,Vijay,3.9,₹56.84,₹58,1 kg
180,Oil - Mantra GroundNut,Idhayam,4.1,₹246,₹246,1 L - Pouch
181,Green Peas,BB Royal,4,₹35,₹70,200 g - Pouch
182,Organic Cow Ghee/Tuppa,AKSHAYAKALPA,4.2,₹750,₹750,490 ml
183,Idli Sooji/Rava,BB Royal,0,₹47,₹60,1 kg - Pouch
184,Coconad - Pure Coconut Oil,Klf,4.2,₹175.75,₹185,1 L
185,Organic - Maida,BB Royal,4,₹116,₹170,2x1 kg - (Multipack)
186,Coriander Powder,Tata Sampann,4.2,₹131.75,₹155,500 g
187,Rice/Akki - Jeera,India Gate,4.2,₹114.07,₹135,1 kg
188,Mustard Oil,Patanjali,4.2,₹145,₹145,1 L - Bottle
189,Sundrop Super Lite Advanced - Sunflower Oil Pouch,Sundrop,4.2,₹180,₹180,1 L - Pouch
190,Roasted Sooji/Rava,BB Royal,3.9,₹30,₹40,500 g - Pouch
191,Basmati Rice - Rozana Premium,BB Royal,4,₹874.95,₹1150,2x5 Kg - Multipack
192,Organic - Chia Seeds,BB Royal,4.1,₹99,₹205,200 g
193,Khus Khus/Posta Dana,BB Royal,4.1,₹1197,₹2000,500 g
194,Basmati Rice/Basmati Akki - Biryani,Daawat,4.4,₹1011.16,₹1170,5 kg - Bag
195,"Masoor Dal/Mysore Bele - Whole, Unpolished",Tata Sampann,4.1,₹154.23,₹159,1 kg - Pouch
196,Rice Bran Health Physically Refined Oil,Fortune,4.2,₹708.4,₹775,5 L - Jar
197,Ragi Flour,Vijay,4.2,₹66.64,₹68,1 kg
198,Rice Bran Oil - Physically Refined,Sunpure,4.1,₹219.76,₹290,2 X 1 ltr - Multipack
199,Cashew/Godambi - Broken,BB Popular,3.7,₹845,₹1200,1 kg
200,Medium Poha,Vijay,3.9,₹86.24,₹88,1 kg
201,Sooji/Bombay Rava,BB Super Saver,3.9,₹22,₹31,500 g
202,Wheat Dalia/Lapsi rava,BB Royal,0,₹55,₹80,1 kg - Pouch
203,Organic - Sugar/Sakkare,BB Royal,3.9,₹60,₹110,1 kg
204,Green Moong//Hesaru Kaalu - Whole,BB Super Saver,4,₹140,₹160,1 kg
205,Masoor Dal/Mysore Bele,BB Popular,4.1,₹519,₹750,5 kg
206,Organic - Byadagi Chilli Whole,BB Royal,0,₹194,₹199,200 g
207,Black Raisins/Ona Drakshi - Seedless,BB Royal,4,₹92,₹120,200 g - Pouch
208,Organic - Cashew/Godambi Whole Bold,BB Royal,0,₹1162,₹1499,1 kg
209,Basmati Rice/Basmati Akki - Rozana Gold,Daawat,4,₹429,₹560,5 kg - Pouch
210,Lobia/Alasandee Kaalu - White,BB Royal,3.9,₹59,₹80,500 g - Pouch
211,Fried Gram - Whole/Huri Kadale,BB Royal,4.1,₹159,₹180,1 kg
212,Masala - Bisibelebath Powder,MTR,4.2,₹65,₹80,100 g - Pouch
213,Oil - Groundnut,Dhara,4.1,₹1106.95,₹1275,5 L - Can
214,Chakki-Fresh-Wheat-Atta/Godihittu - Fortified,BB Royal,4,₹418.42,₹550,10 kg
215,Wheat - Sharbati,BB Royal,3.9,₹59,₹70,1 kg - Pouch
216,Ponni Raw Rice  (12 + Months Old),BB Royal,3.9,₹325,₹350,5 kg - Pouch
217,Filtered Groundnut Oil,Mr. Gold,4.1,₹204.95,₹240,1 L - Pouch
218,"100% Natural & Pure Groundnut Oil - Unrefined, Cold-Pressed",Nature Way,4.2,₹1662.5,₹1750,5 L
219,Palakkad Red Matta Boiled Rice - Unda,BB Royal,0,₹1596,₹1820,26 kg - Bag
220,Thick Poha,Vijay,4,₹83.3,₹85,1 kg
221,"Cow's Pure Ghee - Source Of Calcium, Boosts Overall Health",Sri Sri Tattva,4.2,₹3575,₹3575,5 L - Tin
222,Multigrain Atta - Fortified,BB Royal,3.9,₹570.63,₹660,2x5 kg - Multipack
223,Double Roasted Rava,Double Horse,4.1,₹110,₹110,1 kg
224,Besan/Kadale Hittu,BB Super Saver,0,₹45,₹60,500 g
225,"Organic - Foxtail Millet / Italian, Thinai Rice",BB Royal,4,₹62,₹72,500 g
226,Organic Walnut/Akrodu Kernels,BB Royal,3.5,₹860,₹1099,500 g
227,Whole Wheat Atta,24 Mantra Organic,4,₹651.9,₹930,3x5 kg - Multipack
228,Rajma/Capparadavare - White/Chitra,BB Royal,4,₹47,₹55,200 g - Pouch
229,"Pistachios - Roasted & Salted, Premium Californian",Happilo,4.1,₹699.16,₹790,2x200 g - Multipack
230,Ponni Raw Rice - Super Premium,BB Royal,0,₹1638,₹1950,26 kg - (18 + Months  Old)
231,Cashew/Godambi - Split,BB Royal,3.8,₹466,₹900,500 g
232,Refined Oil - Rice Bran,Mr. Gold,4.2,₹112.02,₹140,1 L - Pouch
233,Bombay Sooji,Vijay,3.9,₹68.6,₹70,1 kg
234,Chilli Powder,MTR,4.2,₹145,₹170,250 Gm
235,Jaggery/Bella Powder/Nattu Sakkarai,BB Royal,3.9,₹44,₹60,500 g
236,Gold Palmolein Oil,RUCHI,4.1,₹95,₹125,870 g - Pouch
237,Organic - Little Millet/Samai Rice,BB Royal,4,₹278,₹349,2 kg
238,Organic Ragi Flour,BB Royal,4,₹314.1,₹349,5 Kg
