,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
66,Hommade Lemoneez - Goodness Of 33 Lemons,Dabur,4.2,₹152.1,₹160,2x250 ml - Multipack
67,Sunrise Instant Coffee - Chicory Mixture,Nescafe,4.2,₹654.5,₹770,2 x 200 g - Multipack
68,"Club Soda - Extra Power, Refreshing Drink",Bisleri,4.1,₹120,₹120,6 x 750 ml - (Multipack)
69,"Fruit Juice - Delight, Mango",Tropicana,4.1,₹240,₹240,12x200 ml - Multipack
70,Darjeeling Tea,Lipton,4.2,₹873,₹970,500 g
71,"Special Blend Tea - 10% Extra Strong Leaves, Perfect Aroma & Taste",Tata Tea Agni,4.1,₹115,₹115,500 g - Pack
72,Probiotic Health Drink - Light,Yakult,4.1,₹380,₹380,4x65 ml - Multipack
73,100 % Apple Juice - With No Added Sugar and Preservative,Real Activ,4.1,₹302.2,₹465,3x1 L - Multipack
74,100% Orange Juice,Tropicana,3.8,₹435,₹435,3x1 L - Multipack
75,"Coconut Water - Refreshing Flavour, Vital Electrolytes",Paper Boat,4.1,₹174.8,₹200,4x200 ml - Multipack
76,"Green Tea - Lemon & Honey, Rich In Antioxidants",Tetley,4.3,₹437.5,₹625,140 g - (100 Bags x 1.4 g each)
77,Soft Drink - Lime & Lemon Flavoured,Limca,4.1,₹34,₹40,750 ml - PET Bottle
78,Strong Coffee,LEVISTA,4.2,₹80,₹160,50 g - Pouch
79,Green Tea - Ginger Mint Lemon,Tetley,4.4,₹392.7,₹510,3x25 Teabags - Multipack
