,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
29,Moong Dal/Hesaru Bele,₹145,₹209,Tata Sampann,1 kg - Pouch
30,Atta with Multigrains - High Fibre,₹562.8,₹670,Aashirvaad,10 kg 
31,Sugar/Sakkare,₹255,₹300,BB Popular,5 kg 
32,Refined Sugar (Sulphurless)/Sakkare,₹101,₹130,BB Royal,2 kg 
33,Organic - Almond/Badam,₹503.5,₹675,BB Royal,500 g 
34,"Rice/Akki - Raw, Sona Masoori",₹295,₹350,BB Popular,5 kg - (6 + Months  Old)
35,Moong Dal/Hesaru Bele,₹153,₹200,BB Royal,1 kg - Pouch
36,Rice Bran Health Physically Refined Oil,₹378.96,₹480,Fortune ,3x1 L - Multipack
37,Sona Masoori Raw Rice/Akki,₹1199,₹1375,Super Saver,25 kg 
38,Sunlite - Refined Sunflower Oil,₹268.58,₹480,Fortune ,2 L - Pet Bottle
39,Olive Oil For Indian Cooking - Frying & Baking,₹1069.25,₹1350,BORGES,1 L - Pet Bottle
40,Gold Refined Cooking oil | Blended Rice Bran & Sunflower oil | Helps Keeps Heart Healthy,₹144,₹180,Saffola,1 L - Pouch
41,"Green Moong Whole - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",₹65.72,₹90,BB Royal,500 g - Pouch
42,Bullet Raw Rice - Aged Cleaned Hygienically Packed,₹1669,₹2250,BB Royal,26 kg - Bag
43,Chana Dal/Kadale Bele,₹22,₹30,BB Royal,200 g - Pouch
44,Organic - Toor Dal/Togari Bele,₹988,₹1200,BB Royal,5 kg 
45,"Urad Gota - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",₹159,₹210,BB Royal,1 kg - Pouch
46,Organic - Raisins/Ona Drakshi,₹73,₹130,BB Royal,200 g 
47,Surti Kolam - Rice (12 + Months Old),₹1846,₹2330,BB Royal,26 kg - (12 + Months Old)
48,Toor/Arhar Dal,₹952,₹1225,BB Popular,5 kg - Pouch
49,Atta/Godihittu - Chakki Fresh,₹441.74,₹576,Pillsbury,10 kg - Pouch
50,Premium Kachi Ghani Pure Mustard Oil,₹31.98,₹43,Fortune ,200 ml - Pet Bottle
51,Urad Dal/Uddina Bele - Split,₹151,₹210,BB Royal,1 kg - Pouch
52,Bansi Sooji,₹30,₹38,BB Royal,500 g - Pouch
53,"Chilli - Byadagi, Stemless",₹508,₹600,BB Royal,500 g 
54,Nakshatra Pooja Oil,₹88.11,₹105,Mr. Gold,500 ml 
55,Unpolished Chana Dal,₹147.84,₹154,Tata Sampann,1 kg - Pouch
56,Poha/Avalakki/Aval - Thick,₹62,₹100,BB Royal,1 kg - Pouch
57,Refined Sunflower - Oil,₹604.95,₹675,Sunpure ,5 L - Can
58,Walnut/Akhrot - Kernels,₹224,₹360,BB Popular,200 g - Pouch
59,Cashew/Kaju - Whole,₹768,₹1000,Super Saver,1 kg 
60,Idli/Idly Rice,₹99,₹130,BB Royal,2 kg - Pouch
61,"Gold - Refined Cooking Oil, Blend Of Rice Bran & Sunflower Oil, Helps Keeps Heart Healthy",₹499,₹690,Saffola,3 L - Jar
62,Powder - Asafoetida,₹883,₹883,LG,500 g - Jar
63,"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",₹180,₹212,Tata Sampann,2x1kg - Multipack
64,Urad Dal/Uddina Bele Whole White,₹210,₹224,Tata Sampann,1 Kg 
65,"Cow Ghee - Intense Aroma & Flavour, Rich Texture, Immunity Booster",₹340.95,₹370,Aashirvaad Svasti,2x200 ml - Multipack
66,Amrit - Brown Sugar,₹76,₹100,Parry's,2x500 g - Multipack
67,Black Pepper/Kari Menasu,₹183,₹280,BB Popular,200 g - Pouch
68,Maida -  Soft & Chemical Free,₹10,₹15,BB Royal,200 g - Pouch
69,Organic - Raw Peanuts/Kadalekayi,₹103.55,₹136,BB Royal,500 g 
70,Organic - Brown Sugar/Sakkare,₹138.7,₹229,BB Royal,2 kg 
71,Superior-Mp-Sharbati-Atta/Godihittu - Fortified,₹487.5,₹650,BB Royal,10 kg - Pouch
72,Coconut Oil - 100% Pure,₹97,₹114,Parachute ,300 ml - Bottle
73,Dosa Rice/Akki,₹254,₹275,Super Saver,5 kg 
74,Original Extra Virgin Olive Oil,₹995,₹1400,BORGES,1 L - Pet Bottle
75,Oil - Groundnut,₹169.41,₹210,Freedom,1 L 
76,Masala - Puliogare Powder,₹122,₹135,MTR,200 g - Pouch
77,Rice Flour,₹49,₹60,BB Royal,1 kg - Pouch
78,Organic - Cumin/Jeera/Jeerige,₹410,₹600,BB Royal,500 g 
79,Chana - Brown/Kadale Kaalu,₹20,₹35,BB Popular,200 g - Pouch
80,Kabuli Chana/Kabuli Kadale,₹239,₹240,BB Popular,1 kg - Pouch
81,Coriander/Dhania Seeds,₹48,₹100,BB Royal,200 g 
82,New Rice/Akki - Sona Masoori,₹299,₹325,BB Popular,5 kg 
83,Fine Besan/Kadale Hittu - 100% Chana Dal,₹134.1,₹149,Tata Sampann,1 kg 
84,Phool Makhana,₹88,₹120,BB Popular,100 g - Pouch
85,Cold Pressed Groundnut Cooking Oil - Cooks Indian Dishes,₹906.99,₹1500,BB Royal Organic,3x1L - Multipack
86,Tamarind/Hunisehannu/Imli Seedless Cake,₹239,₹400,BB Royal,1 kg 
87,Amrit Powdered Jaggery,₹80,₹110,Parry's,2x500 g - Multipack
88,Moong Dal/Hesaru Bele,₹138,₹190,BB Popular,1 kg - Pouch
89,"Poha/Avalakki - Extra Thick, Mota",₹74,₹100,BB Royal,1 kg 
90,Unpolished Green Moong Dal - Whole,₹190.08,₹198,Tata Sampann,2 x 500 g - Multipack
91,Jaggery - Square,₹82,₹100,BB Royal,1 kg 
92,Fenugreek/Methi/Menthya,₹36,₹60,BB Popular,200 g 
93,HMT Kolam Rice/Akki,₹77,₹95,BB Royal,1 kg - (12 + Months Old)
94,Iodised Crystal Salt,₹44,₹44,Tata Salt,2x1kg - Multipack
95,Tasty Refined Cooking oil | Blended Rice bran & Corn oil | Pro Fitness Conscious,₹136,₹150,Saffola,1 L - Pouch
96,Chilli - Guntur with Stem,₹250,₹350,BB Royal,500 g 
97,Anjeer/Figs/Atti Hannu,₹743,₹1250,BB Popular,500 g 
98,Organic - Cardamom Green/Elakki,₹444,₹449,BB Royal,100 g 
99,Chiroti/Barik Sooji,₹30,₹33,BB Royal,500 g - Pouch
100,"Organic - Moong Dal/Hesaru Bele, Unpolished",₹335,₹449,BB Royal,2 kg 
101,Himalayan Pink Rock Salt/Uppu Powder,₹87,₹110,GoodDiet,1 kg 
102,Filtered Groundnut Oil,₹207,₹207,Safal,1 L - pouch
103,Urad Gota/Whole,₹119,₹190,BB Super Saver,1 kg 
104,Chana Dal/Kadale Bele,₹55,₹65,BB Popular,500 g - Pouch
105,Cold Pressed Sunflower Cooking Oil - Cooks Indian Dishes,₹906.99,₹1350,BB Royal Organic,3x1L - Multipack
106,Basmati Rice/Basmati Akki - Rozana Super 90,₹349,₹486,Daawat,5 kg 
107,Gingelly Oil,₹351.67,₹375,Mr. Gold,1 L 
108,Phool Makhana,₹114,₹150,BB Royal,100 g - Pouch
109,Cow Ghee/Tuppa,₹798,₹840,Aashirvaad Svasti,1 L - Pet Jar
110,"Refined Sunflower Oil - Trans Fat Free, Healthy Cooking Oil",₹99,₹145,Fiona ,1 L - Pouch
111,Oil - Groundnut,₹203,₹250,Dhara ,1 L - Pouch
112,Coconut Oil,₹125.34,₹145,Kpl Shudhi,500 ml - Pouch
113,Cow Desi Ghee/Tuppa,₹1598,₹2600,Fresho Organic,2x1 L - (Multipack)
114,Rice/Akki - Dosa,₹89,₹120,BB Royal,2 kg - Pouch
115,Mustard/Sasive/Rai - Small,₹198,₹300,BB Royal,1 kg 
116,Sabudana - White Medium,₹120,₹150,BB Royal,1 kg - Pouch
117,Mustard/Sasive/Rai - Small,₹92,₹150,BB Popular,500 g 
118,Organic Jaggery/Bella Powder,₹55.1,₹95,BB Royal,500 g - Jar
