,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
88,88,Women'S Health & Nutrition Drink - Chocolate Flavour,Horlicks,730.0,678.9,51.10000000000002,7.0,2x400 g - Multipack,2*400 g ,800 g,800.0,0.848625
89,89,"Diabetes Plus - Helps Manage Blood Sugar, Vanilla",Horlicks,790.0,711.0,79.0,10.0,400 g - Cartoon,400 g ,400 g ,400.0,1.7775
90,90,Women'S Health & Nutrition Drink - Caramel Flavour,Horlicks,710.0,660.3,49.700000000000045,7.0,2x400 g - Multipack,2*400 g ,800 g,800.0,0.825375
91,91,Fruit Juice - Mixed Fruit Delight,Tropicana,250.0,210.0,40.0,16.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.105
92,92,"Fruit Juice - Delight, Guava",Tropicana,240.0,240.0,0.0,0.0,12x200 ml - Multipack,12*200 ml ,2400 ml,2400.0,0.1
93,93,Dust Tea,Tata Tea Agni,140.0,140.0,0.0,0.0,500 g ,500 g ,500 g ,500.0,0.28
94,94,Energy & Nutrition Drink - 3X More Stamina,Boost,599.0,494.0,105.0,17.53,500 g - (Pack of 2),500 g ,500 g ,500.0,0.988
95,95,Health & Nutrition Drink - Classic Malt,Horlicks,698.0,658.0,40.0,5.73,2 x 450 g - Multipack,2*450 g ,900 g,900.0,0.7311111111111112
96,96,Chocolate Syrup,Hersheys ,300.0,285.0,15.0,5.0,3x200 g - Multipack,3*200 g ,600 g,600.0,0.475
97,97,Natural Mineral Water,Himalayan,840.0,756.0,84.0,10.0,12x1 L - Multipack,12*1 L ,12 L,12000.0,0.063
98,98,Soft Drink,Pepsi,75.0,67.0,8.0,10.67,1.5 L - Bottle,1.5 L ,1.5 L ,1500.0,0.04466666666666667
99,99,"Mixed Fruit - Rich In Fibre, Vitamin C & E, 100% Indian Fruit & 0% Concentrate",B Natural,390.0,296.4,93.60000000000002,24.0,1 L - (Pack of 3),1 L ,1 L ,1000.0,0.2964
100,100,Fruit Power Juice - Mixed Fruits,Real,384.0,343.38,40.620000000000005,10.58,3X1 L - Multipack,3*1 L ,3 L,3000.0,0.11445999999999999
101,101,Hot Chocolate Drink Powder Mix,Cadbury,660.0,561.0,99.0,15.0,3 x 200 g - Multipack,3*200 g ,600 g,600.0,0.935
