,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Only_Numeric_Part,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
957,957,Everyday Basmati Rice/Basmati Akki,Fortune ,169,126.02,42.98,25.43,1 kg - Pouch,1 kg ,,1 kg ,1000,0.12602
958,958,"Basmati Rice/Basmati Akki - Authentic, Super Value",Kohinoor,810,533.62,276.38,34.12,5 kg - (25% Extra),5 kg ,,5 kg ,5000,0.106724
959,959,Masala - Kitchen King,Mdh,79,79,0,0,100 g - Carton,100 g ,,100 g ,100,0.79
960,960,Chilli Powder,Aashirvaad,350,315,35,10,500 g ,500 g ,,500 g ,500,0.63
961,961,Basmati Rice - Rozana Regular,BB Royal,990,786.31,203.69,20.57,10 Kg ,10 Kg ,,10 Kg ,10000,0.078631
962,962,Raisins/Ona Drakshi - Afghan,BB Royal,750,461,289,38.53,500 g ,500 g ,,500 g ,500,0.922
963,963,Rajma Chitra,BB Super Saver,200,169,31,15.5,1 kg ,1 kg ,,1 kg ,1000,0.169
964,964,Cow Ghee Original - 100% Pure & Natural,Auric,999,899.1,99.9,10,1 L ,1 L ,,1 L ,1000,0.8991
965,965,Organic Sesame Oil - Promotes Heart Health,Kapiva,424,334.96,89.04,21,500 ml - Plastic Bottle,500 ml ,,500 ml ,500,0.66992
966,966,Charminar Rozana Basmati Rice/Basmati Akki,Kohinoor,560,337.48,222.52,39.74,5 kg ,5 kg ,,5 kg ,5000,0.067496
967,967,Rice Bran Health Physically Refined Rice Bran Oil - Contains Natural Oryzanol & Natural Vitamins,Sunpure ,1050,621.6,428.4,40.8,5 L - Can,5 L ,,5 L ,5000,0.12432
968,968,Organic - Proso Millet,BB Royal,85,75,10,11.76,500 g ,500 g ,,500 g ,500,0.15
969,969,Premium Diwali Gift Box,BB Royal,749,525,224,29.91,"500 g - (Almonds, Cashews, Raisins, Pistachios, 125 g each)",500 g ,,500 g ,500,1.05
970,970,Kabuli Chana/Kabuli Kadale - Pesticide Free,Safe Harvest,145,121.8,23.2,16,500 g ,500 g ,,500 g ,500,0.2436
971,971,Powder - Rasam,Sakthi,52,49.4,2.6,5,50 g - Pouch,50 g ,,50 g ,50,0.988
972,972,Apricots/Khumani,BB Popular,500,362,138,27.6,500 g ,500 g ,,500 g ,500,0.724
973,973,Basmati Rice/Basmati Akki - Mini Mogra/Broken,India Gate,680,646.87,33.13,4.87,10 kg - Bag,10 kg ,,10 kg ,10000,0.064687
974,974,"Sona Masuri Super Quality Steam Rice - Light Weight, Easy To Digest",Sri Sri Tattva,75,75,0,0,1 kg ,1 kg ,,1 kg ,1000,0.075
975,975,Rock Salt - Powder/Uppu,BB Royal,200,74,126,63,1 kg ,1 kg ,,1 kg ,1000,0.074
976,976,Organic Kala Chana/Kadale Kaalu,Pro Nature,102,86.7,15.3,15,500 g - Pouch,500 g ,,500 g ,500,0.1734
977,977,Powder - Dry Ginger,Everest,90,90,0,0,100 g - Carton,100 g ,,100 g ,100,0.9
978,978,Brazilian Nuts,BB Royal,400,327,73,18.25,100 g ,100 g ,,100 g ,100,3.27
979,979,Xpert Pro Immunity Oil - Blend Of Rice Bran & Sunflower Oil,Fortune ,800,625,175,21.88,5 L - Jar,5 L ,,5 L ,5000,0.125
980,980,Whole Wheat,24 Mantra Organic,375,330,45,12,5x1 kg - Multipack,5*1 kg ,"(5, 'kg')",5 kg,5000,0.066
981,981,"Pav Bhaji Masala - With Natural Oils, Crafted By Chef Sanjeev Kapoor",Tata Sampann,94,89.3,4.7,5,100 g ,100 g ,,100 g ,100,0.893
982,982,Safflower Oil,24 Mantra Organic,1650,1237.5,412.5,25,3x1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.4125
983,983,Kashmiri Rajma/Capparadavare,BB Super Saver,180,167,13,7.22,1 kg ,1 kg ,,1 kg ,1000,0.167
