,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
172,Instant Sweet Corn Cup-A-Soup,₹100,₹100,Knorr,10x10 g - Multipack
173,Chutney - Schezwan,₹263.93,₹270,Chings,3x250 g - Multipack
174,Hommade - Tomato Puree,₹77,₹81,Dabur,3x200 g - Multipack
175,Namkeen - Mini Bhakarwadi,₹130,₹130,Haldiram's,2x200 g - Multipack
176,"50-50 Potazos - Masti Masala, Spicy Flavoured Crips, Teatime Snack (Pack Of 3)",₹60,₹75,Britannia,3 x71.5 g - Multipack
177,Hide & Seek Caffe Mocha Cookies,₹90,₹120,Parle,4 x 100 g - Multipack
178,Namkeen - Lemon Bhel,₹60,₹60,Haldiram's,6x57 g - Multipack
179,"Muesli - 20% Nuts Delight, Multigrain Breakfast Cereal, High In Iron & Fibre, Naturally Cholesterol Free",₹529,₹790,Kelloggs,1 kg 
180,Cheese Flavoured Cracker Biscuits - Family Pack,₹300,₹300,Malkist,720 g - (144 g x 5 N)
181,"Dark Chocolate - Single Origin, India",₹80,₹160,Amul,125 g 
182,"50 50 Time Pass Biscuits - Simply Salted,",₹57,₹60,Britannia,6x69g - Multipack
183,Chocolate Pack,₹360,₹360,Cadbury Nutties,8 x 30 g - Multipack
184,Strawberry Flavour Creme Sandwich Biscuit,₹86.94,₹105,Cadbury Oreo,3 x 113.75 g - Multipack
185,Just Ginger - The Ginger Biscuit With Real Tang,₹60,₹60,Bisk Farm,2x150 g - Multipack
186,HiFi Cashew Butter Cookies,₹5,₹5,Sunfeast,35 g - pouch
187,Namkeen - Mixture,₹60,₹60,Haldiram's,6x55 g - Multipack
188,"Banana Chocochip Pancake Mix - No Maida, Eggless Instant Healthy Breakfast",₹415.71,₹447,Slurrp Farm,3x150 g - Multipack
189,Salted Peanut,₹265,₹265,Haldiram's,1 Kg 
190,Minis Chocolate Home Treats Pack,₹432,₹600,Cadbury Dairy Milk Silk,3 x 153 g - Multipack
191,Fruit & Nut Chocolate Bar,₹502.74,₹540,Cadbury Dairy Milk,6 x 80 g - Multipack
192,Frozen Green Peas - Ready To Cook,₹172.4,₹260,Farmland,1 kg 
193,Chocos Corn Flakes,₹96,₹120,Kelloggs,6x58 g - Multipack
194,Biscuits - Googly,₹60,₹60,Bisk Farm,2x200 g - Multipack
195,Bounce Creme Biscuits - Orange,0,0,Sunfeast,41 g 
