,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
130,Fruit Juice - Orange Drink,₹324,₹360,Paper Boat,3 x 1 L - Multipack
131,5 Star Magic Health Drink,₹749.84,₹824,Cadbury Bournvita,2x750 g - Multipack
132,100 % Mixed Fruit Juice - With No Added Sugar and Preservative,₹363.75,₹435,Real Activ,3x1 L - Multipack
133,Rich Aroma Instant Coffee,₹1235,₹1300,Davidoff,2 x 100 g - Multipack
134,Soft Drink,₹176,₹198,Coca Cola,2 x 2.25 L - (Multipack)
135,Tender Coconut Water With Pulpy Malai,₹936,₹1440,Fresho,24x200 ml - Multipack
136,Soft Drink,₹444,₹480,Thums Up,12x300 ml - Multipack
137,Premium Tea With 20% Extra Long Leaf,₹838,₹1250,Emperia,2x1 kg - (Multipack)
138,Green Tea  - Pure & Light,₹303.6,₹330,Lipton,2x25 pcs - Multipack
139,Fruit Power Juice - Litchi,₹331.74,₹375,Real,3x1 L - Multipack
140,Sports Drink - Orange Flavour,₹150,₹150,Gatorade,3x500 ml - Multipack
141,Health Drink Vanilla Delight,₹1420,₹1540,Pediasure,2x400 g - Multipack
142,Cold Extracted Juice - Pomegranate,₹837,₹900,Raw Pressery,2x1 L - Multipack
143,SOFT DRINK,0,0,Sprite,250 ml 
144,Premium Leaf Tea,0,0,Wagh Bakri,500 g 
145,"Classic, Pure & Natural From Highest Hills",₹265.72,₹292,Tata Tea Kanan Devan,1 kg 
146,Swing Juicier Drink - Mixed Fruit Medley,₹60,₹60,Paper Boat,6x150 ml - Multipack
147,"7+ Health Drink - With Oats & Almond, Vanilla Flavour",₹220.9,₹235,Pediasure,200 g - Box
148,Filter Coffee Liquid Strong,₹178.22,₹198,iD,2 x 150 ml - Multipack
149,Mango Juice,₹170,₹198,Tropicana Slice,2x1.75 L - Multipack
150,Golden Leaf Tea,₹233.75,₹275,Tata Tea Kanan Devan,500 g 
151,"Mother's Plus, Vanilla",₹589,₹620,Horlicks,400 g - Carton
152,Soft Drink - Lime Flavoured,₹480,₹480,Sprite,12x300 ml - Multipack
153,Fruit Power Juice - Mango/Aam,₹296.82,₹345,Real,3x1 L - Multipack
154,Cold Brew Coffee - 100% Arabica,₹575,₹575,Sleepy Owl,250 g - (Set of 5)
155,"Anar/Pomegranate Juice - With Low Sugar, No Added Preservatives",₹510,₹600,Paper Boat,200 ml - (Pack of 12)
