,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
185,Organic - Maida,₹116,₹170,BB Royal,2x1 kg - (Multipack)
186,Coriander Powder,₹131.75,₹155,Tata Sampann,500 g 
187,Rice/Akki - Jeera,₹114.07,₹135,India Gate,1 kg 
188,Mustard Oil,₹145,₹145,Patanjali,1 L - Bottle
189,Sundrop Super Lite Advanced - Sunflower Oil Pouch,₹180,₹180,Sundrop,1 L - Pouch
190,Roasted Sooji/Rava,₹30,₹40,BB Royal,500 g - Pouch
191,Basmati Rice - Rozana Premium,₹874.95,₹1150,BB Royal,2x5 Kg - Multipack
192,Organic - Chia Seeds,₹99,₹205,BB Royal,200 g 
193,Khus Khus/Posta Dana,₹1197,₹2000,BB Royal,500 g 
194,Basmati Rice/Basmati Akki - Biryani,₹1011.16,₹1170,Daawat,5 kg - Bag
195,"Masoor Dal/Mysore Bele - Whole, Unpolished",₹154.23,₹159,Tata Sampann,1 kg - Pouch
196,Rice Bran Health Physically Refined Oil,₹708.4,₹775,Fortune ,5 L - Jar
197,Ragi Flour,₹66.64,₹68,Vijay,1 kg 
198,Rice Bran Oil - Physically Refined,₹219.76,₹290,Sunpure ,2 X 1 ltr - Multipack
199,Cashew/Godambi - Broken,₹845,₹1200,BB Popular,1 kg 
200,Medium Poha,₹86.24,₹88,Vijay,1 kg 
201,Sooji/Bombay Rava,₹22,₹31,BB Super Saver,500 g 
