,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
191,Funfoods Veg Mayonnaise - Original,₹142,₹178,Dr. Oetker,2 x 250 g - Multipack
192,Salted Peanut,₹265,₹265,Haldiram's,1 Kg 
193,Dark Soy Sauce,₹163.8,₹180,Ching's Secret,3x200 g - Multipack
194,Chocolate Pack,₹360,₹360,Cadbury Nutties,8 x 30 g - Multipack
195,Cup-A-Soup - Manchow Veg,₹100,₹100,Knorr,10x12 g - Multipack
196,"Masala Oats - Tasty Evening Snack, Fibre Rich, Veggie Twist",₹368.18,₹449,Saffola,1 kg 
197,Smiles Crispy - Happy Potatoes,₹370,₹370,McCain,1.25 kg 
198,Mithai Shankarpali Sweet - Crispy,₹65,₹109,Tasties Origins,150 g 
199,"Oats - Tasty Evening Snack, Fibre Rich, Masala & Coriander",₹171.6,₹195,Saffola,500 g 
200,Namkeen - All in One,₹100,₹100,Haldiram's,400 g - Pouch
201,Cup-A-Soup - Hot & Sour Veg,₹100,₹100,Knorr,10x11 g - Multipack
202,Besan Laddoo,₹120,₹240,Daadi's,2x200 g - Multipack
203,Farmlite Biscuit - Oats & Almonds,₹152.49,₹195,Sunfeast,3x150 g - (Multipack)
204,Besan Laddoo Mithai / Sweet,₹85,₹160,Tasties,200 g 
205,"Nachos - Cheese Flavour, With Free Dip",₹76.5,₹100,Bingo,2 x 100 g - Multipack
206,Frozen - Mixed Vegetables,₹127.5,₹150,Safal,1 Kg - Pouch
207,Muesli Breakfast Cereal - With Multigrain & 21% Fruit & Nut,₹419,₹720,BB Royal,2x500 g - Multipack
208,"Milkybar Bar - Rich Taste, Creamy",₹10,₹10,Nestle ,12.5 g 
209,Vermicelli - Made From Wheat,₹89,₹89,Aashirvaad,850 g 
210,"2 Minute Instant Noodles - Veggie Masala, Made With Quality Spices, Rich In Fibre",₹60,₹60,MAGGI ,248 g - Pouch
211,Namkeen - Mixture,₹60,₹60,Haldiram's,6x55 g - Multipack
212,Nissin Geki - Hot & Spicy Korean Veg Flavour,₹220.5,₹294,Nissin,80 g - (Pack of 6)
213,Potato Chips - American Style Cream & Onion Flavour,₹57,₹60,Lays,3x52 g - Multipack
214,Minis Chocolate Home Treats Pack,₹541.44,₹600,Cadbury Dairy Milk Silk,3 x 153 g - Multipack
215,"Muesli - 20% Nuts Delight, Multigrain Breakfast Cereal, High In Iron & Fibre, Naturally Cholesterol Free",₹529,₹790,Kelloggs,1 kg 
216,Durum Wheat Pasta - Fusilli,₹309.46,₹598,BORGES,2x500 g - Multipack
217,Green Chilly Sauce,₹163.8,₹180,Ching's Secret,3x190 g - Multipack
218,Gulab Jamun,₹675,₹675,Haldiram's,3 x 1 kg - Multipack
219,Marie Light Active - Original Biscuits,₹81,₹90,Sunfeast,3x186 g 
220,Masala Rava Idli Ready Mix,₹120,₹130,MTR,500 g - Pouch
221,Jim Jam Pops Biscuit,₹85,₹100,Britannia,350 g 
222,Treat - Crazy Pineapple Cream Biscuits,₹114,₹120,Britannia,12x64 g - Multipack
223,Veggi Manchow Instant Cup Noodles,₹116.4,₹120,Nissin,3x70 g - Multipack
224,Cranberry Dark Chocolate Bar,₹297.53,₹330,Cadbury Bournville,3 x 80 g - Multipack
225,Namkeen - All In One Mixture,₹199.02,₹294,Tasties,6x150 g - Multipack
226,"Banana Chocochip Pancake Mix - No Maida, Eggless Instant Healthy Breakfast",₹415.71,₹447,Slurrp Farm,3x150 g - Multipack
227,Chocos,₹515,₹515,Kelloggs,1.15 Kg 
228,"Minute Fresh Dosa Batter - No Added Preservatives, Soda, Colours Or Flavours, Authentic Taste",₹71,₹85,MTR FOODS,850 g 
229,Polo - The Mint With The Hole,₹5,₹5,Nestle ,12 g - Pouch
230,"Daily Pasta - Made From Durum Wheat, Elbow",₹75,₹150,Bambino,500 g 
231,Fatafat Bhel,₹270,₹270,Haldiram's,6x65 g - Multipack
232,3 Minute Breakfast Vegetable Upma,₹69,₹81,MTR,3 x 60 g - Multipack
233,Crispello Chocolate Bar,₹96.73,₹105,Cadbury Dairy Milk,3x35 g - Multipack
234,"Bites - Almond, Roasted & Chocolate Coated",₹190.35,₹225,Cadbury Dairy Milk,3 x 40 g - Multipack
235,Mixed Vegetable Cup A Soup - No Added Preservatives,₹10,₹10,Knorr,9.5 g 
236,Roasted Vermicelli,₹74,₹130,BB Royal,2x400 g - Multipack
